stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,19.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.73,0,0,0,4.9,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.61,0,6.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.05,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,7.58,10.01,0,0,0,0,0,0,0,0,1.66,160.31,0,0,0,7.31,0,0,0,0,0,0.97,0,0,0,1.12,0,0,0,1.64,0,0,7.87,0,0
 24-34,0,0,0,0,5.94,1.33,0,2.11,0,0,0,1.55,3.71,0,0,825.91,0,0.7,0,8.77,0,3.63,0,0,2.14,54.35,0,0,2.26,0,0,0,4.94,1.48,0,0,53.15,0,0
 36-46,0,0,0,0,10.43,0,0,3.05,0,8.41,0,0,0.72,0,0,1157.77,0,0,0,1.35,6.95,7.73,0,0,0,45.7,0,2.51,16.51,0,0,6.09,7.88,7.87,0,0,34.23,0,25.14
 48-58,0,0,0,0,11.15,6.69,0,5.18,0,6.98,0.85,1.01,0.38,2.74,2.05,1253.41,0.58,0,0.46,12.03,6.91,14.81,0,0,0.39,79.36,0,0,0,0,0,20.8,8.09,1.49,0,0,47.53,0,88.08
 60-70,0,0,1.66,0,51.69,0,0,33.76,0,59.29,1.39,14.28,0.66,1.63,3.26,1121.26,0.75,13.59,0,7.99,15.18,12.07,1.01,11.75,6.4,57.84,0,0,0,0,1.44,59.36,22.99,4.73,0,0,33.19,0,130.99
 72-82,0,0,0,1.44,45,3.32,0,23.35,0,34.19,0,17.73,9.21,3.38,5.19,937.51,13.15,8.11,6.54,6,8.71,45.05,2.69,5.11,2.27,76.02,0,7.2,0.9,0,0,152.01,24.92,5.93,0,0,79.42,3.84,174.09
 84-94,0,0,0,2.84,141.06,3.7,0,28.45,1.21,112.1,1.4,13.71,5.75,4.35,3.61,1169.68,27.45,12.27,10.91,25.05,9.46,61.62,7.84,5.86,3.33,105.98,2.13,17.99,8.58,0,0,697.34,123.34,13.04,0.74,0,108.52,2.26,163.67
 96-106,0,0,0.63,2.46,259.27,16.67,1.52,88.65,0,114.07,11.68,73.96,66.86,1.06,7.41,1687.52,53.11,15.39,21.59,47.82,4.85,137.11,20.72,5.97,4.78,206.25,0,61.52,4.56,0,2.43,1553.85,39.24,7.19,12.69,0,135.08,4.74,147.65
108-118,0.45,0,0,11.29,287.75,32.65,1.34,55.22,1.27,150.59,8.13,88.6,63.9,0,4.37,1555.8,52.64,48.86,20.16,49.76,8.73,177,31.36,19.92,5.9,132.57,2.01,36.34,4.84,0,12,1378.38,52.67,4,27.48,6.27,167.74,2.94,160.48
120,1.19,0,0,0,263.75,7.94,5.97,55.77,0,83.88,8.81,67.45,56.34,0,2.27,3914.01,65.66,48.44,97.96,102.77,0,126.11,30.89,8.65,15.96,336.24,12.24,37.95,3.59,0,16.29,1271.53,7.19,1.74,0,9.96,158.87,8.81,29.57
