stage,axial,blastomeres,erythrocytes,eye,glial,mesenchyme,neural,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord
  3-4,0,10.13,0,0,0,0,0,0,0,0,0,0
  5-6,0,44.4,0,0,0,0,7.33,0,0,0,0,0
  7-9,4.37,0,0,0,0,0,33.02,23.53,0,0,0,0
 10-12,0,0,0,5.77,0,0,10.09,0,0,0,0,0
 14-21,0,0,0,0.84,0,0,10.61,0,0,0.97,0,0
 24-34,0,0,0.92,1.96,0,4.35,5.75,0,0,0,0,0
 36-46,0,0,0,1.53,0,1.7,7.15,0,0,0,0,1.06
 48-58,0,0,0,0.75,0,0,0,0,0,0,0,0
 60-70,0,0,0,2.33,0,0,8.08,0,0,0,0,0
 72-82,0,0,0,0,9.01,1.11,0,0,0,0,0.63,0
 84-94,0,0,1.19,0,0,0,2.7,0,0,0,0,0
 96-106,0,0,0,0,0,1.65,0,0,0,0,0,0
108-118,0,0,0,0,6.87,0,4.18,0,0.44,0,0,0.62
120,0,0,1.19,0,0,0,14.19,0,0,0,0,0
