stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,37.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.56,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,16.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,3.35,0,0,0,1.6,0,0.99,1.87,0,0,0
 24-34,0,0,0,2.23,0,0,0,0,0,0,0,0,0,0,0,3.05,1.27,0,0,2.83,13.12,0,0,0,0.65,0,0,5.22,0,0,0
 36-46,0,0,0,0,6.56,0,0,0,2.68,0,0,0,0,0,0,14.9,1.7,0,0,0,24.6,2.85,0,0,0,0,0,6.33,0,0,0
 48-58,0,0,0,1.3,11.7,0,1.04,0,4.92,0.49,0,2.19,0,0,0,2.1,10.77,0,0,0.51,49.4,0.55,0,0,0.38,2.28,0,5.01,0,0.81,0
 60-70,0,0,0,5.79,17.07,0,0,0,1.21,0,0,0,0,0,0,13,40.77,1.53,0,0,54.57,0,0,0,1.79,0,0,1.9,0,0,0
 72-82,0,0.57,0,3.68,65.3,3.57,1.02,1.92,6.1,1.1,0,0,1.85,0.68,0,5.12,88.76,0,2.6,0,64.13,5.34,0.67,0,4.28,0,0,4.98,0,2.04,1.31
 84-94,0,0,0,6.12,10.26,0,4.91,0,5.93,0,0,0,3.13,0,0,21.62,91.66,2.02,0,0,18.14,0.76,0,0,2.47,0,0,0.78,0,0,0
 96-106,0,0,0,8.23,12.15,0,4.14,0,4.89,0,0,1.14,3.63,0.66,1.06,6.72,155.37,0.69,0,0,37.62,1.26,1.25,0,13.24,0,0,0,0,0,0
108-118,0,0,0,28,28.79,0.46,11.13,1.16,8.16,0.54,0.49,0,0.44,0,0,5.26,142.27,0,1.29,0,19.04,5.83,0,0,3.54,0,0,1.47,1.4,2.73,0
120,0,0,0,27.32,7.41,2.34,34.28,0,0,1.14,0,0,1.65,0,0,1.61,219.04,0,0,2.99,20.44,2.4,0,8.63,3.19,0,0,0,0,0,0
