stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.99,606.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,37.64,285.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.14,0,0,0,0,0,6.9,0,0,0,0,0,0,0,0,0
  7-9,4.99,0,0,5.57,0,0,0,0,0,0,0,0,3.22,0,0,0,0,0,0,0,0,0,0,0,96.81,17.26,0,0,15.33,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.87,0,0,0,14.71,0,0,0,4.12,0,0,0,0,0,0,0
 14-21,0,0,0,0,3.53,980.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.08,0,0,0,7.54,0,0,0,0,0,0,0,0,0,1.88,1.98,0,0,0,0
 24-34,0,0,0,0,9.02,2112.38,0,8.59,0,0,0.97,0.74,0,0.92,1.25,0,0,0,0,0,12.77,0.69,0,7.9,85.99,0,4.59,0,0,2.91,4.93,0,0,0,2.25,19.98,0,7.32,0,0
 36-46,0,0,0,0,0,1188.47,0,3.08,0,0,0,0,0,0.73,0,0,0,0,0,0,3.33,0,0,0,46.25,0,0,0.91,0,0,1.22,0,0,0,0,14.3,0,0,0,1.94
 48-58,0,0,0,0,1.64,1456.07,0,11.26,0,0.62,0.79,0.51,0.49,0,4.99,0,0,0,0,0.56,5.93,0,0,1.72,71.46,0,0,0,0,0,0,0,0,0,0,2.2,0,1.95,0,6.88
 60-70,0,0,0,0,0,1481.83,0,17.45,0,3.18,0,0,0,0,1.36,0,0,0,0,0,8.44,0,0,0,38.1,0,0,0,0,0,10.34,0,0,0,0,8.19,2.56,0.96,0,0
 72-82,0,0,0,0,0,2687.3,0.63,37.36,0.82,0,8.64,0,0,0,5.65,0,0,0,0,5.12,3.81,0,0,1.25,49.47,0,0,0,0,0,3.37,0,0,0,0,3.32,3.21,0.66,0,7.42
 84-94,0,0,0,0,0.62,3269.91,0,11.77,0.68,0,17.21,3.7,0,0,2.82,2.66,3.67,0,0,0,7.94,0,0,2.22,25.88,4.43,0,1.68,0,0,5.8,0,0.82,2.02,0,0,0.69,4.95,1.49,0
 96-106,0,0,0,0,1.68,3417.84,0,15.47,1.93,0,4.59,0.68,0,0,2.8,0,1.2,1.51,0.68,0,7.67,0,1.09,11.76,72.66,0,1.47,2.11,0,9.2,2.35,0,0,0,0,0,3.48,6.85,0,4.75
108-118,0,0,0.52,0,1.91,1896.03,0,18.89,0,0.97,2.71,0.51,0,0,5.44,0.53,1.25,0,0,0,10,0,0,3.12,58.43,0,0,0,0,4.59,2.16,0.79,0,0,0,0,0,5.88,0,0
120,0,0,0,0,16.18,1891.59,5.27,0,0,0,9.04,0,0,0,0,0,0,0,0,0,13.42,0,16.98,0,49.15,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
