stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,16.11,716.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.07,0,0,0,0,0,0,0,0,0,0
  5-6,0,177.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03,0,0,0,0,0,17.8,0,0,0,0,0,0,0,0,0,0
  7-9,6.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.22,0,0,0,10.7,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.98,15.06,0,0,11.53,0,0,0,25.93,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.81,2.18,1.39,0.83,0,0,0,2.33,0.87,0,0,0,0,0,0,8.32,0,6.72,40.83,0,0,0,0,0,0,0.9,6.68,0,3.63,21.62,0,0,0,0,0
 24-34,0,0,1.31,0,1.28,0,9.19,0,0,0.74,0,0.66,0,0,1.12,0,0.95,0,8.05,0,8.1,260.72,0,3.29,0.62,0,0,0,0,24.37,0,0,74.56,0,0,0,0,0
 36-46,0,0,0,0,0,0,21.96,0,0,0,1.8,0,0.99,0,0,0,0,0,4,0,0.64,668.84,0,0,1.37,0,0,0.75,0,10.38,0,0,139.51,0,0,0,0,3.66
 48-58,0,0,0,0,4.67,0,67.72,1.05,0,0,4.66,0.92,0.83,0,0,0,0,0,9.06,0,5.39,740.58,0,0.81,9.11,0,0,0,0,22.72,2.39,0,354.93,0,0,0,0,7.68
 60-70,0,0,0,0,0,0,91.88,0,0.84,3.36,8.18,0.69,0.76,0,0,0,0,2.31,23.61,0.65,3.66,1145.24,0,0,22.44,0,0,0,0,14.43,0,0,616.32,0,0,0,0,3.46
 72-82,0,0,0,0,7.77,8.65,132.09,0,0,0,10.78,0,0.75,1.2,0,0.62,0,0.95,13.61,4.52,0.56,1000.5,0,1.02,47.04,0,0.84,1.75,0,6.04,0,0,170.57,0,0,0,2.77,0
 84-94,0,0,0,0,0.8,1.21,77.23,0,0,0,11.12,1.02,1.1,0,0.8,0,0,0,22.77,0.72,5.35,746.96,0,0,61.37,0,4.35,0.68,0,28.67,0.73,0,201.22,2.83,0,0,0,0.7
 96-106,0,0,0,0,1.89,0,39.44,0,0,0,12.04,2.3,0,0,0.63,2.06,0,0,5.52,5.94,2.86,425.95,0,0,84.82,0,0,5.05,0,8.46,0,0,41.53,0,2.06,0,5.07,1.25
108-118,0,0,0,0,4.63,0,57.43,0,0,0,11.19,0,0.8,0,0,0.43,0,0,9.25,4.19,4.31,410.75,0,0,71.5,0,0,0.57,0,14.87,0,0,15.18,0,2.27,2.81,4.84,0
120,0,0,0,0,2.61,0,32.81,0,0,0,16.83,2.91,0,0,0,0,0,0,15.91,0,3.71,356.14,0,0,70.75,0,0,5.51,0,10.47,0,0,9.89,0,0,0,1.43,0
