stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,9.8,1700.33,54.07,0,8.82,0,2.82,0,1.6,18.5,0.96,10.7,0,19.57,0,0,0,0.86,365.23,3.76,0,148.95,160.67,5.28,0.85,1.83,14.35,0,88.07,33.24,4.48,5.6,35.87,29.77,0,0,0.85,0,0
 24-34,0,4.43,294.67,1.43,0,7.26,0,26.19,0,1.28,11.23,0,7.74,0,0.63,0,0.7,3.36,0,234.04,0.66,4.98,51.06,183.76,5.4,0,0.75,0,0,21.06,0,2.69,2.26,4.61,12.91,0,0,0,0,0
 36-46,0,0,64.13,0,0,8.21,3.38,33.34,13.7,0.92,1.46,0,16.24,0,0,0,0,0.59,0,208.4,0,24.13,22.64,358.67,3.78,1.19,4.67,0,0,6.8,0,1.48,2.22,0.74,37.43,0,0,4.69,0,0
 48-58,0,0,34.77,0,0,42.75,0,29.25,15.7,19.85,0,0,1.28,0,0,0,0.39,0,1.87,113.56,1.73,13.95,17.07,1007.87,1.78,0,0,0,0,8.71,0,0,7.74,0,81.85,0,0,4.46,0.5,0.99
 60-70,0,0,15.51,2.83,0,117.81,8.76,0,24.07,92.05,0.85,0,1.71,0,0,0,1.77,0,0,87,0,15.84,6.53,1919.89,2.27,4.76,0,0,0,6.55,0,0,6.33,0,149.17,0,0.69,0,2.76,1.82
 72-82,0,0,18.4,0.58,0,188.05,6.75,1.08,76.35,150.71,1.52,0,0,0,0,1.5,0,0,0,99.71,0,2.31,17.34,2638.68,0,17.93,0,0,0,2.64,0,0,1.07,0,140.52,4.99,1.74,7.82,0,0
 84-94,0,0,7.28,0,0,171.41,11.77,13.54,32.61,132.51,0,0,0.73,1.42,0,5.3,0,0,0,91.85,0,11.24,16.11,1963.37,0,3.76,0.8,0,0,2.24,0,0,0,0,87.88,1.01,0.57,3.91,2.16,7.8
 96-106,2.33,0,15.55,2.69,9.83,191.85,13.13,1.25,24.13,111.92,3.22,0,0,1.78,0,0,0.92,7.9,0,94.73,1.62,9.74,6.63,1690.49,0.68,17.36,2.43,0,1.36,8.14,0,0,6.88,0,84.93,1.13,0,0,3.91,0
108-118,0.79,0,23.89,1.98,0,217.97,14.24,4.24,57.51,140.5,1.33,0,0,3.01,0,1.37,0,4.22,0.76,95.02,0,4.88,12.66,1877.02,2.53,3.36,1.18,0,0.96,2.36,0,0,2.06,0,71.79,0,0,4.64,5.56,0
120,0,0,40.78,0,0,228.92,11.87,0,29.46,148.09,0,0,0,5.93,0,0,0,1.84,0,98.98,0,1.83,1.02,2884.7,0,0,1.25,0,0,0,0,0,0,0,137.29,0,0,11.74,0,0
