stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,heart,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,73.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,41.35,135.73,0,0,0,0,0,0,14.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.42,0,3.86,0,0,4.73,0,0,5.47,0,0,0,0,0,0,0,0,99.84,0,0,0,10.88,0,7.71,0,0,0,0,0,0,0,0,0
 10-12,0,3.64,0,0,0,5.47,0,0,0,0,0,0,0,0,0,0,0,113.1,0,0,0,38.95,0,5.62,0,3.54,0,0,0,0,0,0,0
 14-21,0,0,0,17.6,0,5.22,2.64,3.46,0,1.07,0,0,0,7.81,0,0,1.82,67.36,7.66,0,0,2.32,0,0,10.73,0,3.01,16.81,0,0,0,0,0
 24-34,0,0,0,0.62,1.16,12.33,1,0,0,0,0,0.97,0,4.15,0,0,3.01,91.45,0,1.53,0,0,5.76,0,0,0,1.36,21.72,0,0,2.52,0,0
 36-46,0,0,0,0,0,8.56,2.18,0,0,0.71,0,0,0,13.02,0,0.86,2.94,55.54,0,1.92,0,0,0,0,0,0.56,0,21.84,0,0,2.06,0,0
 48-58,0,0,0,8.64,0,16.33,3.37,0,0,12.53,0,0,0,7.45,0,1.44,5.29,36.06,0,0,0,0,0,0,0,0,0,4.44,0,0,0,0,0
 60-70,0,0,0,1.41,0,8.7,0.87,0,0,0,0,0,0,6.06,0,0,1.73,33.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,7.63,1.99,0,0,0,0,0.92,0,5.11,0.78,0.67,0,13.48,0,0,0,0,0.57,0,0,0,0,2.19,0,1.48,0,1.28,0
 84-94,0,0,0,0.83,0,2.29,3.29,2.28,0,0,0,0,0,16.08,0,0,0,7.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0.93,0,7.1,3.39,0,0,0,0,0,0,10.18,0,0,1.37,3.63,0,2.03,1.57,0,1.52,0,0,0,0,3.59,0,0,0,0,0
108-118,0,0,0,4.88,0,9.18,5.02,0,0,0,0,0,1.44,3.28,0,0,0,14.27,0,1.43,4.18,0,0.42,0,0,0,0,0.47,1.12,0,0,0,0
120,0,0,0,2.16,0,39.78,2.7,1.38,0,0,1.87,0,0,5.13,0,0,2.12,21.75,0,5.12,0,0,3.62,0,0,0,0,0,0,0,0,0,2.33
