stage,epidermis,eye,fast_muscle,fin_mesenchyme,glial,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,15.27,0,0,3.27,0,0,0,0,0,0
 10-12,0,9.92,0,0,0,0,0,0,0,0,10.55,0,0,5.45,0,0,0,0,0,0
 14-21,1.29,0,0,0,0,0,0,0.93,0,2.1,0,0,0,0,0,0,1.02,0,0,0
 24-34,4.73,0,0,0,0,0,2.42,5.4,0,0,7.86,0.72,14.05,0,0,0.61,0,0,0,0
 36-46,0,0,0,0,0,0,5.19,0.98,1.66,0,0,0,8.72,0,0,11.9,0,0,0,0
 48-58,0,1.3,1.36,0,0,0,9.31,1.4,3.33,0.37,22.96,0,8.57,0,0,0,0,2.55,0,0
 60-70,0,2.74,0,0,0,0.86,7.05,4.77,1.79,0,17.16,0,24.59,0,0,5.75,0,0.59,0,0
 72-82,0,4.77,0,0,0,0,8.75,4.07,5.6,1.04,26.24,0,24.48,0,0,0,0,0,0,0
 84-94,2,0,0,1.55,0,0,15.82,16.21,2.71,0,16.32,0,15.6,0,1.56,8.96,0,0,1.15,0
 96-106,1.85,0,0,0,2.33,0,14.84,4.18,4.39,0,38.99,0,21.3,0,0.91,0,0,1.56,1.27,0.8
108-118,0,7.73,0,0,4.51,0,10.5,13.05,4.46,0,28.11,0.81,12.04,0,0,1.32,0,2.76,0,0
120,0,0,0,0,19.02,0,9.28,5.41,11.11,0,19.04,0,25.85,0,0,0,0,1.19,0,0
