stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.41,0,0,0,1.33,0,0,0,0,1.38,1.38,0,0,0,0,0
 24-34,0,0,2.84,0,0,0,0,0,0,2.05,0,3.23,0,0,0,0,0,0,0,0,0,0,2.54,38.53,0,0,0,0,0,2.18,0,0,0,2.5,0,0,0,0,0
 36-46,0,0,0,0.91,0,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.91,0,2.14,0,0,0,0,3.08,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46,0,0,0,4.77,0,0,0,0,0,0,0,0,0,1.39,0,0,0,0,0
 60-70,0,0,0,0,348.97,0,0,0,0,0,3.12,0,0,0,0,0,0,0,0,1.93,0,0,0,15.97,0,0,0,0,0,0,0,0,0,0,0,0,8.84,0,0
 72-82,0.93,0,7.81,13.34,3651.09,134.1,0,1.64,8.06,30.2,2.52,0,0,1.8,4.54,0.75,0.92,14.17,0,68.77,0,0,2.59,426.19,0,0,4.43,0,0,12.07,0,0,0,17.75,0,0.81,13.66,9.05,5.14
 84-94,0,0,4.98,23.57,6309.85,104.59,1,2.09,4.65,29.06,0,0,0,5.08,1.02,0,0,1.43,0,24.8,2.96,1.07,3.21,284.41,0.76,0,4.25,0,0,24,0,2.53,0,1.98,4.72,1.38,1.08,5.73,0
 96-106,17.23,0,234.13,471.02,42473.51,1231.95,19,19.92,34.81,372.94,108.46,0,29.7,89.87,32.14,32.04,16.69,307.5,14.24,752.7,40.39,48.17,72.18,3600.96,10.11,71.01,39.02,0,19.2,454.09,1.58,11.36,0,107.24,20.53,14.23,165.83,42.28,91.47
108-118,26.62,0,458.66,423.29,129508.51,3791.04,39.06,105.14,67.98,783.86,116.71,0,11.97,92.97,57.04,148.77,19.72,282.21,98.38,1640.16,89.37,64.97,191.29,8404.82,60.14,58.98,62.88,0,46.97,846.92,19.09,5.9,0,197.95,34.53,32.4,171.91,45.67,350.4
120,14.27,3.17,310.81,361.64,51304.04,2125.04,66.97,78.36,65.02,764.54,83.71,0,24.03,136.47,23.94,39.05,28.9,160.36,12.02,1648.97,14.78,133.06,125.43,8055.5,42.06,35.6,57.2,0,40.78,235.13,107.3,13.02,0,254.45,29.66,30.24,240.24,36.2,149.63
