stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,20.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.52,22.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,17.86,0,0,0,9.38,0,0,0,0,0,9.51,0,0,0,9.74,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.4,4.04,0,0,6.65,0,0,0,0,0,0,0,0,0,19.22,0,0,0,48.47,0,0,0,20.35,0,0,0,0,0,0,0
 14-21,0,1.36,0,0,0,0.8,0,0,0,0,0,0,0,0,0,9.12,0,0,0,0,0,0,0,0,0,2.33,2.01,0,0,0,0
 24-34,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0.74,165.91,0,0,0,0,0,0,0,0,0,0,3.52,0,0,0,0
 36-46,0,0,0,0,0,4.8,1.12,1.51,0,0,0,0,1.12,0,0,416.78,0,2.58,0,0,0,0,0,0,0,0,2.33,0,0,0,0
 48-58,0,0,0,4.19,0,8.73,0,3.66,0,0,0,2.56,2.48,0,1.08,410.27,4.49,0,0,0,0,0,0,0,0,0,12.37,0,0,0,0.97
 60-70,0,0,0,0,0,4.33,0,1.78,0,0,0,0,1.37,0,0,708.74,0,0,0,0,0,5.81,0,0,0,0,2.53,0,0,0,0
 72-82,0,0,0,1.64,0,31.68,0,11.45,0,0,2.68,0,6.86,0,0,869.62,0,0,1.48,0,0,0,0,0,0,0,26.02,0,1.34,0.79,0
 84-94,0,0,0,2.39,4.07,30.25,0,17.78,0,0,0,0,3.35,0,0,593.61,0,0,0,0,0,1.9,1.4,0,0,0,2.68,0,0,0,10.21
 96-106,0,0,0,2.52,0,16.64,0,2.57,0.76,0,0,0,6.38,0,0,511.3,0,0,0,1.2,2.84,2,0,0,0.7,0,0,0,0,0,0
108-118,0,0,0,4.12,0,20.29,0,21.52,0,0,0,0,4.81,4.08,0,563.5,0,0.66,0,0,0,0.72,0.79,0,0,0,9.23,0.6,1.76,0,0
120,0,0,0,0,0,12.58,0,9.67,0,0,0,0,0,0,0,1207.92,0,0,0,0,4.59,4.36,0,0,0,0,0,1.37,0,0,0
