stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.13,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.95,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,13.46,3.41,0,0,0,0,0,0,0,3.84,12.04,0,0,0,0,0,24.3,0,0,9.75,5.28,0,0,0,0,0,0,0,3.06,1.76,0,0,0.86,0,0
 24-34,0,1.34,6.3,1.9,0,1.38,0,0.92,1.37,1.76,0,8.99,52.03,0,0,0.85,0,0,64.44,0,6.57,39.37,15.34,4.86,1.07,0.74,0,0,3,0,0,1.98,0,0,21.31,0,0
 36-46,0,0,19.21,4.4,0,0.88,0,0,1.02,8.29,0,4.07,58.01,0,0,0.72,0,0,136.48,0,29.87,37.04,23.07,10.8,0,0,0,2.7,0,0,0,6.27,0,0,11.63,0,0
 48-58,0,0,8.57,8.23,0,8.58,0,4.85,42.89,3.41,0,26.64,148.98,0,0.98,1.1,0,2.73,231.82,0.4,66.02,55.58,71.07,15.17,0,3.92,0,5.53,0,0.56,0,6.95,0,2.62,31.7,0.78,6.86
 60-70,0,0,15.66,4.37,0,11.61,0,7.74,70.93,2.51,7.41,9.38,190.13,1.73,0,2.61,2.81,0,384.1,0,69.91,62.63,60.74,9.86,0,2.01,0,18.35,8.61,0,0,1.69,0,35.99,30.55,13.35,9.11
 72-82,2.07,0,12.3,23.81,0,44.84,0.65,6.81,122.73,7.83,5.76,32.84,183.49,0,0,0.99,0.79,0,678.32,5.88,112.5,95.92,92.73,1.46,0,1.2,0,28.4,5.27,0,0,10.9,1.58,38.68,17.13,73.62,0
 84-94,0,0,7.24,24.17,0,41.05,0,2.61,115.49,14.09,4.3,29.48,199.06,0.86,6.61,1.35,0.56,5.22,532.06,0,87.93,42.56,64.08,0,0,2.31,0,29.34,0.73,3.96,0,8.5,2.04,46.79,12.63,59.57,2.81
 96-106,0,0,19.83,35.9,2.83,67.07,0.71,24.2,136.18,32.28,26.59,92.96,431.12,0.56,2.78,1.35,19.8,0,1133.37,2.09,218.16,130.27,142.35,5.96,2,1.46,0,191.08,17.74,11.84,0,3.7,0,93.28,56.64,161.67,7.19
108-118,0,0,21.88,9.69,1.98,43.33,0.54,4.61,155.74,14.68,21.81,45.16,223.93,3.14,1.19,0.63,11.07,0,1075.9,0,128.98,114.36,160.91,5.22,0,4.48,0,197.99,0.6,0,0,2.35,0,32.48,27.84,59.92,8.43
120,7.45,0,33.72,46.17,0,102.73,1.04,3.54,323.01,5.42,57.76,73.47,920.96,1.4,9.11,9.11,29.05,0,2752.52,0,350.5,205.57,291.19,12.7,0,1.02,32.89,637.47,3.78,1.97,0,7.18,1.81,103.73,147.84,235.98,18.67
