stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,23.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,44.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.62,0,0,0,0,0,0,0,0,0,0,0,18.91,0,0,0,3.98,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,7.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,20.94,0.97,7.73,0,0,0,9.32,2.31,0.91,1.66,0,0,0,0,0,0,13.48,0,0,8.39,190.05,7.25,0,0,8.07,0,0,19.36,2.08,0,18.81,58.2,0,0,0,0,0
 24-34,0,0,1.82,3.27,0.79,24.1,0,1.39,0.64,5.27,0,0,1.04,0,1.66,0,0,0,0,21.49,0,0,12.17,309.24,0,0,1.56,0,0,4.14,0,2.53,0.61,0.62,84.1,0,0,5.08,0,0.89
 36-46,0,0,0,2.66,0,36.15,0,0.62,1.26,10.85,0,0,0,1.67,0,0.61,1.84,0,0,20.92,0,2.94,3.49,338.29,0,3.39,0.74,0,0.97,25.57,0,0,0,0,59.39,0,0,6.4,0,0
 48-58,0,0,0,6.72,0,77.07,0,1.45,1.08,35.55,0.97,0,1.48,0,0.38,0.4,0.41,0,0,30.5,0,0.38,9.84,271.49,1,0,0.44,0,0,6.11,0,0,0,0,49.84,0,0,0.53,0,6.47
 60-70,0,0,0,4.17,0,100.94,1.1,0.9,0.9,39.54,7.22,0,0,0,0,0,0,0,0,39.06,0,5.83,5.64,268.71,0,0,0,0,0,8.16,0,0,0,0,33.27,0,1.06,0.63,0,0
 72-82,0,0.93,0,15.05,6.1,75.07,0,0,2.52,45.1,0.99,0,0,1.76,0,2.5,0.79,0.96,0.5,94.76,0.94,2.21,6.38,168.37,0,0.97,5.5,0,0.8,6.29,0,0,0,0,19.35,0,0.89,14.13,2.17,3.65
 84-94,0,0,0,11.57,0,45.01,0,0,2.08,43.39,0.76,0,2.66,1.26,0.56,0.9,0.61,0,0,39.22,0,0,1.91,91.08,0,1.64,0,0,0,4.57,0,0.76,0,0,13.71,3.05,0.68,2.87,0,1.25
 96-106,0,0,0,3.21,0,40.63,0,1.29,0,27.2,0.74,0,0.87,0.73,0.66,0.75,1.52,0,0,26.23,0,1.14,3.45,106.02,0,0,0,0,1.51,9.57,0,0,0,0,6.34,0.87,2.88,3.67,0,0
108-118,0,0,0,5.55,0,54.51,0,0,0,24.93,1.42,0,0,1.43,1.07,7.45,0,0.68,0.51,73.06,0,0.5,6.97,97.85,0,0.45,7.04,0,1.6,7.25,0,0.96,0,0,12.01,0,0,6.37,3.54,0.99
120,0,4.18,0,2.57,1.3,30.9,0,3.72,0,59.33,0,0,0,0,0,1.87,0,0,0,43.44,2.91,2.4,22.01,174.18,4.32,6.02,4.1,0,0,7.83,0,0,0,0,20.06,0,0,0,2.66,0
