stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,63.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.88,0,0,0,0,0,0,0,0,0,0
  5-6,104.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.32,0,0,0,0,0,0,0,0,0,0
  7-9,7.9,0,0,0,0,3.34,0,0,0,0,0,148.57,0,0,0,0,0,0,0,0,0,0,277.33,0,0,0,18.14,0,94.14,0,0,0,0,0,0,0,0,0,0
 10-12,3.59,39.34,0,6.59,0,5.3,0,0,0,0,0,369.9,0,0,0,0,0,0,0,0,0,0,491.1,6.77,0,0,40.09,0,30.39,0,0,0,0,0,0,0,0,0,0
 14-21,0,4.78,453.87,10.18,0,6.63,0,0,0,1.67,13.65,131.77,0,0,4.43,0,0,0,37.78,0.83,0,13.67,94.8,11.39,0,0.94,1.25,0,223.26,0.8,44.25,1.3,0.87,55.69,0,0,2.57,0,0
 24-34,0,0.6,250.24,0,0,87.44,0,5.94,0,0,2.64,6.1,2.83,0,20.09,0.92,4.2,0,35.21,17.67,0,7.59,242.24,0,4.41,10.42,0,3.42,654.64,0,0.65,0,8.58,13.48,0,0,1.91,0,2.73
 36-46,0,1.18,120.29,0,0,105.32,0,7.14,0,14,1.3,1.01,5.07,0,4.56,0,4.63,7.37,20.69,14.04,0,2.89,147.06,7.75,3.69,2.96,0,15.85,751.55,0,0.92,0,0,10.09,0,0,3.45,0,0
 48-58,0,0.91,105.65,0,0,183.04,0,1.87,0,3.35,0.44,4.21,3.35,0.73,12.03,0,3.56,4.93,47.44,33.15,5.88,1.06,176.8,1.03,3.13,2.84,0,3.22,450.24,0,0.74,0,0,23.91,0,0,0,0,0
 60-70,0,0,120.82,0.59,0,394.08,0,15.89,1.21,12.91,3.75,3.71,4.3,1,5.55,4.24,1.2,5.38,105.63,34.1,20.7,3.01,153.53,5.6,0,6.31,0,44.78,396.37,0,1.12,0,0,38.27,0.81,0,8.66,0,0
 72-82,0,0,84.73,1.09,0,715.73,0.76,4.62,1.51,12.1,14.87,3.45,11.37,0.65,3.33,0.75,1.77,4,78.83,55.84,8.17,0.69,243.51,0,9.43,0.56,0,76.08,311.07,0,1,0,0,31.42,11.1,0,3.15,1.16,4.81
 84-94,0,0,160.85,4.55,0,627.51,0.69,17.53,0,29.91,47.03,0.66,20.96,2.18,9.04,13.8,1.68,1.42,120.22,50.58,18.93,0.59,195.73,0,1.26,1.2,0,137.04,740.82,0,7.98,0,0,20.91,21.58,0.63,3.6,2.25,0
 96-106,0,0,162.47,6.84,3.86,845.92,0,10.21,0.76,39.17,24.33,0,50,2.83,10.39,12.15,9.18,4.97,114.39,49.23,20.02,0,319.96,0,6.43,14.77,0,125.96,693.28,0,4.91,0.83,0,16.03,43.85,5.73,21.91,2.72,0
108-118,0,0,176.4,2.06,0.66,870.77,0,7.7,0,64.15,33.02,0,29.58,1.8,17,14.26,2.37,8.16,164.46,95.56,16.26,1.13,283.65,0,3.77,3.74,0,149.14,478.33,0,7.85,0,0,6.82,69.59,1.74,25.4,4.42,0
120,0,0,273.41,4.06,0,1296.08,0,24.8,2.81,26.91,33.93,0,22.76,4.27,13.7,1.58,0,5.61,76.4,59.24,14.99,0,556.43,26.61,3.22,2.25,0,233.44,445.69,0,0,0,0,11.47,31.21,3.24,35.86,4.69,0
