stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,periderm,pronephros,spinal_cord,vasculature,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.63,0,0,0
 14-21,0,56.7,0,0,0,0,0.84,45.32,0,0,0,0,0,0,0,0.82,0,0,0,0,2.54,0
 24-34,0.6,59.29,0,0,0,0,0,79.87,0,0,0,0,0,0,0,17.38,0,1.18,0,1.53,40.28,0
 36-46,0,14.45,2.07,0,0,0,0,77.28,0,0,0,0,0,0,0,6.19,0,0,0,0,15.9,0
 48-58,0,12.59,0,0,1.09,0,0,58.79,0,0.48,0,0,0.54,0,0,3.1,0,0,0,0,11.94,0
 60-70,0,14.35,1.08,0,0,0,0,69.1,2.14,0,0,0,15.36,0,0,0,0,0,0,0,7.83,0
 72-82,0,26.9,6.24,0.51,0,0,0,91.23,0,0,0,0,16.23,0,0,4.31,0,0,0,0,12.39,0
 84-94,0,7.65,4.96,0,2.46,0,0,144.21,0,0,0,0.86,10.82,11.02,1.41,1.59,0,0,0,0,19.04,0
 96-106,0,50.21,2.73,2.83,0,0,1.46,206.59,0,0,0,0,9.3,0,0,0,0,0,0,0,27.6,0
108-118,1.51,21.92,0.64,0,0,1.22,0,170.91,0,0,1.49,0,1.66,0,0,8.87,0.42,1.63,0,0,21.49,2.03
120,0,48.61,7.26,0,8.93,0,0,166.09,0,0,0,0,0,0,0,21.91,0,0,0,0,25.53,0
