stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,49.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.59,0,0,0,0,0,0,0,0,0
  7-9,12.16,0,0,5.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.94,0,0,0,6.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.71,0,0,0,14.78,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,8.48,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,1.88,0,0,3.88,48.34,7.18,0,0,0,0,0,0,0,2.81,8.71,0,0,0,0,0
 24-34,0,0,0.71,0,18.02,0,18.29,0,0,0,0.63,0,0,1.97,0,0.72,0,0,0,0,4.65,0,0,2.4,178.13,0,30.58,0,0,0,13.22,0,0,2.67,38.52,0,0,0,0,0
 36-46,0,0,0,0,86.15,2.72,9.17,4.55,10.7,0,0.75,0,0.76,0,0,0,0.74,0,12.38,0,7.54,0,0,0.72,334.36,15.09,54.34,0,0,0,49.9,0,0,0,35.77,0,0,3.21,0,0
 48-58,0,0,0,0,29.22,0,27.37,2.94,9.03,0.7,21.24,1.9,5.34,0,0.39,1.82,3.38,0,0,0,22.79,0,0,6.88,511.4,11.02,35.88,0,0,0,30.11,1.06,0,0,33.11,0,0,0,0,2.31
 60-70,0,0,0,0,37.84,0,211.81,1.28,1.13,3.79,61.42,0,0,0,0.62,0.62,2.82,0,2.89,21.38,37.58,0,1.78,13.28,826.29,0,19.9,0,0,2.07,15.25,0,3.27,0,85.36,0,0,8.15,0,0
 72-82,0,0,0,0,25.85,0,422.21,0,5.41,5.04,59.71,2.34,4.5,0,5.79,1.02,0,0,0,0,42.49,0,1.28,4.82,1009.86,0,51.2,1.6,0,0,4.42,0.49,0,0,77.8,0,0,1.9,0,0
 84-94,0,0,1.52,0,16.5,0,320.37,0,0.56,4.84,56.53,0,0.85,0,0.64,0,3.92,0.78,0,0,14.38,0.62,0,4.49,630.82,0,33.16,1.49,0,0,0.66,0.76,0,0,57.79,0,2.12,7.34,1.44,0
 96-106,0,0,0.63,0,7.87,5.26,254.16,0.88,2.42,3.04,45.01,0.64,0,0.95,5.54,0,0.67,0,15.19,0,27.02,10.89,0.57,4.71,721.36,0,68.39,0.62,0,0,2.86,0.62,0,0,6.13,0,0,5.76,0,2.56
108-118,0,0,4.83,0,9.55,4.37,487.22,0,0,3.28,43.13,0.7,0,0,1.75,2.79,5.36,0,0.99,0,41.62,2.74,2.32,2.07,863.68,0,48.13,6.23,0,0,0,0,0,0,11.95,1.14,0,7.01,0.73,0
120,0,0,0,0,30.33,4.35,511.77,0,1.01,0,126.94,0,0,0,16.46,8.73,0,0,0,0,24.95,0,10.11,12.52,918.03,0,21.25,0,0,0,1.15,3.15,0,0,33.63,0,0,1.67,0,0
