stage,axial,blastomeres,eye,hatching_gland,neural,notochord,paraxial_mesoderm,pronephros,somites,spinal_cord
  3-4,21.72,446.96,0,0,0,0,0,0,0,0
  5-6,0,456.82,0,0,9.31,0,0,0,0,0
  7-9,0,16.13,18.63,6.13,163.65,24.92,58.33,0,0,0
 10-12,0,5.93,9.69,0,133.43,4.29,51.63,13.78,6.05,0
 24-34,0,0,0,0,4.31,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,6.25
