stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,121.44,2073.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.48,0,0,0,0,0,0,0,0,0,0,0
  5-6,124.39,2392.47,0,0,0,0,0,0,0,0,0,0,11.49,0,0,0,0,0,0,0,0,0,0,80.74,10.72,0,0,37.65,0,24.91,0,0,0,0,0,0,0,0,0,0,0
  7-9,14.65,33.06,0,51.43,0,0,113.27,0,0,0,0,0,77.77,0,0,0,0,0,0,0,0,0,0,1327.6,3.69,0,0,331.56,0,4.29,7.62,0,0,0,0,0,0,0,0,0,0
 10-12,0,46.37,0,35.5,0,0,114.34,0,0,0,0,0,3.42,0,0,0,0,0,0,0,0,0,0,842.13,5.62,0,0,285.09,0,0,0,4.19,35.72,0,0,4.47,0,0,0,0,0
 14-21,0,0,0,2.75,27.06,0.82,13.68,0,0,0,3.31,0,0,0,0,0,0,0,0,0,19.13,0,10.12,252,3.74,0,3.26,6.13,0,0,1.12,33.39,3,2.03,11.76,91.87,0,0,0.92,0,0
 24-34,0,0,0,0,5.33,0.81,27.29,0,0.62,0,6.09,0,0,0,0,1.21,0,0,0.65,0,18.68,0,8.17,343.37,1.42,2.74,6.23,0,0,2.89,0,0,0,0,5.25,61.98,0,0,1.24,0,0.78
 36-46,0,0,0,0,0,1.12,67.58,0,0,0,9.95,0,0,1.91,0,0,0,0,0,9.02,29.89,1.32,8.21,321,0,3.41,0.58,0,0,4.1,0,0,0,0,0,94.49,0,0,1.32,0,0
 48-58,0,0,0,0,4.69,0,102.42,0,0,0.85,21.84,0,0,0,0,0,0,0,0,0,28.96,2.19,2.38,307.56,3.15,0.68,0,0,0,0.51,0.65,0,0,0,0,45.98,0,0,2.62,0,0
 60-70,0,0,0,0,0.6,0,107.49,1.01,0,0.77,10.3,0,0,0,0,0,0,0,1.2,0,18.47,1.62,0,222.38,0,0,0,0,0,0,0,0,0,0,0,44.76,0,1.63,0.63,0,8.59
 72-82,0,0,0.61,0,5.9,0.9,108.85,0,0,1.67,19.47,0,0,1.15,0,0,0,0.61,0,0,30.46,0,1.81,240.82,0,13.16,3.69,0,0,1.19,0,0,0,0,0,33.04,0.5,0,2.47,0,5.54
 84-94,0,0,0,0,3.64,0.65,72.91,0.56,10.84,0.59,18.69,2.29,0,1.22,0,0.62,0,4.05,0,0,22.92,2.91,4.94,123.83,1.8,0,0.74,0,0,0,0,0,1.29,0,0,13.22,0.86,0.75,5.58,0.77,0
 96-106,0,0,1.19,0,3.6,0,47.86,0,1.75,0,11.11,0.89,0,0,0.78,1.12,0.59,2.87,0,0.68,16.37,0,0,126.13,0,1.43,2.46,0,0,3.78,0,0,0.78,0,0,9.75,0.79,0,6.37,0,0
108-118,0,0,0,0,5.09,5.12,25.49,0,0,0.56,14.4,0.67,0,0,1.55,0.86,0,1.06,2.85,0,17.37,0,1.96,181.29,1.54,0.7,0,0,0,1.17,0,0,0,0,0,1.14,0,0.67,2.84,0,0
120,0,0,1.22,0,1.21,1.28,26.52,0,0,2.6,13.52,4.06,0,0,1.06,1.28,0,0,0,0,36.6,0,2.28,213.87,0,0,1.05,0,5.46,3.7,0,0,0,0,0,17.92,0,0,2.77,0,9.75
