stage,axial,blastomeres,epidermis,exocrine_pancreas,eye,glial,immune,mesenchyme,neural,olfactory,spinal_cord,vasculature
  3-4,13.45,11.28,0,0,0,0,0,0,0,0,0,0
  5-6,27.9,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,57.95,0,0,0
 14-21,0,0,0.91,0,0,0,0,0,50.74,0,1.68,0
 24-34,0,0,0,0,2,0,0,0.96,307.61,0.63,15.08,0
 36-46,0,0,0,0,147.6,21.34,0,0,681.41,0,31.01,1.33
 48-58,0,0,1.84,0,194.47,61.15,0,1.79,225.95,0,11.69,0
 60-70,0,0,0,0,140.88,29.17,0,0,65.83,0,3.44,0
 72-82,0,0,0,1.61,41.97,20.67,0,0.57,12.77,0,4.16,0
 84-94,0,0,0,6.78,38.75,18.09,0,0,19.64,0,1,0
 96-106,0,0,1.55,2.12,47.21,19.37,0,0,7.26,0,0,0
108-118,0,0,0,10.82,22.7,8.67,0.43,0,28.85,0,0,0
120,0,0,0,1.14,21.66,13.23,0,0,7.99,0,0,0
