stage,epidermis,eye,glial,immune,iridophores,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,spinal_cord
  7-9,0,0,0,0,0,0,0,0,0,5.87,0,0
 24-34,0,0,0,0,0,0,0,2.36,0.71,0,0,0
 36-46,0,1.03,0,0,0,1.29,0,13.57,0,0,0.58,0
 48-58,0,0.49,0,0,0,0,0,1.54,0,0,0,0
 60-70,0,0,0,0,0,0,1.2,1.62,0,0,0,0
 72-82,0,0.86,0.7,11.02,0,1.19,0,4.1,0,0,0,4.07
 84-94,1.54,0,1.12,4.99,2.52,1.23,0,2.57,0,0,0,1.5
 96-106,0,2.44,0,14.51,0,1.36,0,0,0,0,0.76,0
108-118,0,1.39,1.35,24,0,3.42,0,9.29,0,0,0,0
120,0,0,0,17.92,0,0,0,0,0,0,0,0
