stage,blastomeres,endoderm,epidermis,eye,glial,hatching_gland,immune,ionocyte,melanocytes,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,44.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,26.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.1,0,9.47,0,0,0,0,0,0,28.75,0,0,0,0,0,0,0,0
 10-12,0,10.28,0,0,0,10.2,0,0,0,0,0,0,62.21,0,18.6,0,17.99,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,4.78,0,0,0,0,1.17,0.87,0,0
 24-34,0,0,0,0.91,0,0,0,0,0,0,0,0,8.11,0,0,0.62,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,14.22,0.58,0,0,2.85,0,0.8,0,0
 48-58,0,0,0,0.51,5.49,0,3.86,0,7.29,0,0,0,8.57,0,0,0,0,0,0,0,1.86
 60-70,0,0,0,1.43,6.98,0,0,0,0,0,0,0,6.3,0,0,0,0,0,1.52,0,0
 72-82,0,0,0,0.5,0,0,0,0,0,1.67,0,0,2.73,0,0,1.44,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,1.98,0,5.44,0,0,0,0,0,0,0.77,0
 96-106,0,0,0,0,3.1,0,0,0,0,3.04,0,0,0.94,0,0,0,0,0,0,0,0
108-118,0,0,2.36,1.16,0,0,0,0.44,0,2,0,0,1.56,0,0,0,0.94,0,0,0,0.46
120,0,0,0,0,0,0,0,0,0,2.37,0,3.49,11.59,0,0,0,0,0,0,0,0
