stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,42.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.68,0,0,0,0,0,0,0,0,0,0
  5-6,0,27.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.67,0,0,7.18,0,0,0,17,0,0,0,0,24.61,0,0,0,0,0,0,0,0,0,0,0,24.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,179.39,0,0,0,10.37,0,0,0,0,311.9,0,0,0,0,0,0,0,0,0,0,0,167.64,3.71,0,0,16.21,0,0,0,0,5.54,0,0,0,0,0,0,0
 14-21,4.43,0,0,165.97,515.37,15.58,0,6.96,0,0,0,78.64,117.39,0,0,3.64,0,0,7.79,0,257.26,0,0,97.6,79.03,6.61,0,1.78,0,0,0.82,0,11.27,0,1.7,4.4,0,0,0,0,0
 24-34,4.02,0,0,122.62,164.04,1.07,0,1.26,1.64,0,2.82,86,7.24,0,0,0,0,4.11,7.21,0,807.06,0,0,214.12,121.84,0.7,4.32,0,0,7.03,2.3,0,1.69,0,0,12.21,0,0,1.37,0,0
 36-46,0,0,0,6.24,232.47,0,0,4.99,1.19,1.08,1.76,25.04,6.13,0,0,1.6,0,23.81,8.16,1.46,675.02,0.97,43.73,102.11,175.84,1.33,3.51,8.14,0,3.79,1.83,1.63,0.9,0,0,9.02,0,0,0,0,0
 48-58,0,0,0,0.6,317.14,0,0,8.71,1.48,5.61,2.94,7.02,6.88,0,0,1.76,0.58,17.11,2.39,0,765.68,0.99,25.42,104.1,259.81,0,0.56,1.07,0,0,2.28,0,0,0,0,18.63,0,0,0,1.5,8.94
 60-70,0,0,0,0,304.15,3.28,0,29.32,12.51,20.96,0,22.04,7.16,0,2.21,17.15,0,5.49,1.98,0,685.96,1.3,6.68,28.99,269.45,0,0,0,0,0,12.29,0,0,0,0,9.49,15.58,30.5,0.58,0,5.74
 72-82,0,0,3.38,0,415.05,0,0,63.43,0.65,69.42,5.07,98.13,4,0,0,32.73,0,12.88,0,0,1149.83,31,42.9,28.96,118.43,0,2.67,3.62,0,5.5,4.27,0,0,0,0,0,61.53,43.35,2.47,10.26,8.32
 84-94,0,0,5.45,0,617.59,0,0,59.26,0,47.89,7.83,168.12,3.33,0,0.84,46.61,0.68,11.63,1.49,0,958.63,11.09,20.15,32.16,110.28,0,1.88,0.81,0,23.48,5.8,0,0,0,0,4.66,153.52,71.95,0,17.67,0
 96-106,0,0,5.86,0,775.69,0,0,69.3,2.61,35.77,14.18,368.33,1.06,0.79,2.3,47.96,0,20.7,9.08,0,1137.22,15.19,27.37,40.51,183.32,0,0,0.8,0,19.4,9.96,2.06,0,0,0,4.46,184.92,60.04,4.83,9.85,1.22
108-118,0,0,4.92,0.74,681.67,0,0,31.86,3.76,67.88,16.37,399.27,0,0,1.88,46.81,0,5.9,18.37,0,1263.62,41.8,31.03,30.47,109.44,0.44,0.98,0,0,13.24,7.38,0,0,1.36,0,1.26,186.67,32.3,1.97,19.98,0.92
120,0,0,0,0,566.66,5.25,5.36,13.31,0,86.8,15.31,224.13,0,0,11.84,28.73,0,11.21,18.69,0,800.38,53.32,48.08,23.07,240.11,0,0,0,0,0,4.79,0,0,0,0,0,25.05,30.61,0,23.22,0
