stage,axial,blastomeres,endoderm,epidermis,eye,glial,mesenchyme,neural,paraxial_mesoderm,pronephros,slow_muscle,spinal_cord,vasculature
  3-4,15.32,10.95,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.3,6.75,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,3.55,5.47,0,0,0,0
 10-12,0,0,3.66,0,0,0,0,0,5.89,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0.86,0,0,0,0
 24-34,0,0,0,0,0,0,1.32,4.15,0,0,0,0.73,0
 36-46,0,0,0,0,0,0,0.91,2.35,0,0,1.04,0,1.59
 48-58,0,0,0,0,3.39,0.87,0,5.65,0,0.47,0,0,0
 60-70,0,0,0,0,3.35,0,0,4.52,0,0,0,0,0
 72-82,0,0,0,0,0,0.83,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0.97,0,0,0,0,0
108-118,0,0,0,0.6,1.05,0,0,0,0,0,0,0,0
120,0,0,0,0,3.78,0,0,7.3,0,0,0,0,0
