stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fast_muscle,glial,gut,hatching_gland,immune,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,27.96,55.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,7.08,0,0,0,0,0,4.94,0,0,0,0,0,0,0,85.99,17.46,0,0,30.64,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,16.58,0,9.3,0,0,0,0,0,0,0,0,0,0,0,38.72,0,0,0,8.11,0,0,0,4.48,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.79,0,3.47,0,0,0,0,0,0,1.29,3.9,0,0,0,0
 24-34,0,0,0,0,1.28,0,0,0,0,0,0,0,1.36,0,0,0,0,21.22,0,9.83,5.84,0,0,0,0,0,0,2.9,0,0,0,0
 36-46,0,0,0,0,0,0.72,0,0,0,0,0,0,0,0.92,0,0,0,74.73,0,13.72,5.22,0,0,0,0,0,0,15.55,0,0,0,0
 48-58,0,0,0,0,0,10.58,0,2.01,0,0,4.27,0,1.82,0,0,0,0,88.66,0,13.68,9.26,0,0,0,0,0,0,23.68,0,0.64,0,0
 60-70,0,0,0,0,0,16.07,0,1.17,0,0,0,0,4.37,0.77,0,0,0,178.87,0,21.4,20.84,0,0,3.22,0,0,0,24.2,2.13,0,0,0
 72-82,0,0,0.54,0,2.37,91.77,0,9.13,0,0,0,0,13.81,4.72,0,0,0.51,340.51,0,55.05,77.37,0,0,0,0,0,0,46.08,0,0.61,0,0
 84-94,0,0,0,0,2.41,60.76,0,11.63,0.84,0,0.71,0,12.77,1.46,0,0.93,0,250.42,0,35.15,122.92,0,1.59,0,0,0,0,31.68,0,0,0,0
 96-106,0,0,0,0,2.5,140.35,0,22.68,2.71,0,0,1.23,32.88,9.34,2.61,0,2.2,290.77,0,70.44,164.38,0,0,0,0.7,0,0,38.51,0,0,0,0
108-118,0,0,1.39,0,2.26,234.04,0.54,31.74,1.07,0,1.34,0,23.39,10.68,0,0,1.14,514.07,0,59.3,136.69,0,0,0.88,0,0.64,0,26.1,1.91,0,0,3.48
120,0,0,0,0,0,124.62,0,56.02,0,0,0,15.24,15.7,8.83,0,0,0,1018.67,0,142.82,140.35,0,0,0,0,8.1,0,91.41,0,0,6.45,0
