stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature
  5-6,0,16.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.17,0,0,0,0,0,0,0
  7-9,18.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.02,8.43,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.21,0,0,0,0,0,0,0
 14-21,0,0,0,23.59,0,0,0,0,0,0,0,44.77,0,0,0,0,0,0,0,0,0,0,0,1.85,3.2,0,4.07
 24-34,0,0,0,7.46,0,0,0,0,0,0,0,54.87,0,0,0,0.96,5.79,0,0.65,0,0,0,0,0,0.64,0,21.16
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,65.68,0,0,0.67,0,10.99,0,0,0,0,0,0,0,0,0,16.31
 48-58,0,0,0,0,0,1.28,0,0,0,0,0,84.67,0,0,0.42,0,33.07,0,0,0,0,0,0,0,1.72,0,10.68
 60-70,0,0,0,0,0,0,0.58,0,0,0,0,156.71,0,0,0,0,38.77,0,0,0,0,0,3.31,0,1.45,0,11.1
 72-82,0,0,0.9,3.82,0,2.89,0,0,0,0,0.79,196.24,0,0,1.5,0.75,63.04,0,0,0,0,0,0,0,0,0.56,20.04
 84-94,0,0,0,2.82,0,2.72,0,0,1.82,1.1,0,320.3,1.07,0,0,0,12.14,0,0,0,0,0.57,2.18,0,0,0,19.06
 96-106,0,0,1.56,4.88,0,8.92,0,0,0,0,1.3,460.29,0.64,1.95,2.44,0,18.92,0,0,0,0,0,0,0,0,0,32.89
108-118,0,0,9.81,1.79,0.72,1.67,0,0.81,0.54,1.22,0,453.12,0,0,2.8,0,40.08,0,0,0,2.11,0,0.96,0,2.44,0,30.79
120,0,0,1.58,3.88,0,0,0,0,0,0,0,346.03,0,1.15,3.73,0,35.55,0,0,0,0,0,1.47,0,0,0,22.07
