stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,194.18,3446.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650.25,0,0,0,0,0,0,0,0
  5-6,12.54,390.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.76,621.43,0,0,0,0,0,0,0,0
  7-9,9.76,0,0,3.23,0,0,0,15.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.56,6.54,0,0,19.36,42.96,36.24,0,0,0,0,0,0,0
 10-12,0,0,0,11.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.71,0,0,0,18.07,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.62,69.65,0.98,0,0,0,0,0,4.32,1,0,0,3.12,0,0,1.15,0,0,0,5.58,0,6.14,7.82,1.02,20.35,0,1.71,2.31,2.34,0,0,0,0
 24-34,0,0,0.62,1.68,23.06,0,0,0,2.35,0,0,2.84,0,0,0,6.29,8.78,0.9,0,2.12,0,1.63,25.23,0,35.65,14.04,0,67.72,0,1.06,0,2.78,0,0,0,2.76
 36-46,0,0,0,0,16.94,0,0,1.91,0,0.65,0,0.65,0,0.65,0,1.44,15.31,0,0,0.59,0,0,35.97,0,28.71,12.45,0,134.07,0,0.7,5.4,1.62,0,0,0,0
 48-58,0,0,0,0,5.62,0,0,2.76,2.14,0,0,0.49,1.56,0,0,4.47,7.86,0.37,0.95,0.63,0,0,37.97,0,16.59,20.7,0,70.38,0,1.15,0,0.66,0,0,0,0
 60-70,0,0,0,0,25.71,0,0,2.98,0.59,0,0,0,2.55,0,0,7.46,7.92,0,4.76,2.7,0,0,22.74,0,11.04,12.28,0,75.55,0,1.17,0,0,0,0,0.57,7.37
 72-82,0,0,0.79,0,19.41,0,0,3.48,3.69,0,2.26,5.54,3.69,0,0,3.56,22.24,1.65,7.74,4.46,1.11,0.92,28.47,0,20.93,30.38,0,49.58,0,0,0,8.54,2.73,0,0,0
 84-94,0,0,3.56,0,46.37,2.09,0,0,9.18,0,0,10.76,0.99,0,0,7.82,7.2,0,1.65,9.51,0,0,25.94,0,22.48,21.95,0,151.56,0,3.22,0,0,10.08,0,0,3.73
 96-106,0,0,1.11,0,69.68,0,1.23,11.69,9.72,0,9.25,20.45,0,0,0.65,8.74,24.31,2.84,2.95,4.61,0,0.71,32.61,0.57,40.66,50.7,0,136.01,0,0.58,0,0,8.81,0,0,7.24
108-118,0,0,1.21,0.45,62.57,0,0,10.68,19.65,0,3.46,27.54,0,0,0,11.51,28.05,0.42,4.19,11.73,0,0,11.72,0.43,33.73,72,0,105.93,0,0.42,0,2.59,8.86,0.43,0,0
120,0,0,0,0,43.62,0,0,5.49,26.08,0,2.04,18.49,0,0,0,8,28.75,0,13.69,1.72,0,0,29.98,0,30.54,30.49,0,68.35,2.5,0,0,4.02,3.43,0,0,0
