stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,4.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,8.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.48,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,19.09,0,0,0,0,4.96,0,0,0,1.58,0,0,6.57,1.37,1.09,0,0,0,0
 24-34,0,0,3.71,0,0.85,1.41,0,0,0,0,0,0,355.71,0,0,0,1.89,63.92,0,0.99,18.49,0,0,0,11.1,2.8,0,0,0,0,0
 36-46,0,0,14.94,0,0,0,0,0,0,0,0,120.13,443.94,0,0,0,0,92.76,0,0,19.73,0,0,0,0,0,0.61,0,0,0,0
 48-58,0,0,7.88,0,7.36,0,0,1.6,0,0,0,490,144.67,0,0.41,8.87,1.61,55.44,0,10.03,25.9,0,0.6,0,1.6,0,4.84,0,0,0.44,0
 60-70,0,0,22.88,0,9,11.67,0,0,1.9,0,0,397.21,173.47,0,0,0,0,42.47,0,0,12.4,0,1.23,0,2.32,0,0.75,0,0,0,0
 72-82,0,0,49.49,0,8.93,1.53,1.18,3.45,0,0,0,700.84,254.65,0,0,0,0.84,19.82,0,0,48.99,0,0,0,0.61,0,3.29,0,0,1.31,0
 84-94,0,0,56.54,0,4.53,0.7,0,0,1.47,0,0,562,274.88,0,0,0,7.81,24.53,0,0,18.49,0,0,0,3.88,0,3.69,8.8,0,1.25,0
 96-106,0,0,379.84,4.48,7.1,6.06,1.1,3.72,0,0,1.24,700.66,353.08,0,7.51,5.58,15.86,36.02,3.15,0,14.09,0,0,1.18,26.62,0,0,73.13,2.83,0,7.69
108-118,0,0.84,431.53,0,16.76,2.62,0.66,5.12,3.86,0,0,514.21,442.16,6.82,1.64,0.7,11.02,35.57,0,0.44,25.96,2.66,0,0,1.59,0,0,22.23,0,3.31,0.79
120,0,0,547.42,0,0,6.21,1.67,4.48,1.61,0,0,1055.6,383.88,0,5.12,5.66,11.72,3.6,0,0,21.13,0,0,0,12.94,0,7.97,0,0,15.22,0
