stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,74.65,773.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,83.68,1430.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.29,0,0,0,8.94,0,0,0,0,0,0,0,0,0,0,0
  7-9,94.43,20.9,0,34.13,0,0,47.16,0,0,0,0,0,38.23,0,0,0,0,0,0,0,0,0,0,864,55.02,0,0,289.88,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,18.56,0,0,38.49,0,0,0,0,0,5.06,0,0,0,0,0,0,0,0,0,0,399.49,22.94,0,0,110.65,0,5.41,0,0,38.51,0,0,0,0,0,0
 14-21,0,0,0,2.45,9,1.95,13.94,0,0,0,3.3,3.14,0,0,0,0,0,0,0,0.91,13.87,0,7.56,162.26,0,0,0.93,2.52,0,0,3.91,16.37,0,0,25.32,41.3,0.81,0,0
 24-34,0,0,0,1.27,3.18,0,9.62,0,0,0.74,1.84,1.75,0,0,0,0,0,0,0,0,3.97,0,2.07,313.48,0,0,6.01,0,0,0,0,0,2.48,0,1.42,45.51,0,0,0
 36-46,0,0,0,0,2.38,0,46.69,0,0,2.02,5.52,0,0,1.06,0,0,0,0,0,0,4.2,0,0.65,681.89,0,0,0,0,0,0,0,0,0.59,0,0,95.95,1.37,0,5.47
 48-58,0,1.29,0,0,0,0,112.75,0,0,0,14.83,0.46,0,0.78,0.42,0,0,0,0,1.21,11.84,0,1.99,549.73,0,0,1.1,0,0,0.53,0,0,0,0,0,71.49,0.44,0,0
 60-70,0,0,0,0,0,0,471.13,0,0,0,4,0.96,0,0,0,0,0,0,0,0,3.36,1.05,0.99,534.16,0,0,7.03,0,0,0,0,0,0,0,0,59.93,0,0,4.01
 72-82,0,0,0,0,5.4,0,1810.16,0,8.36,1.62,23.17,0.72,0,0.89,4.06,0.64,4.13,0.72,0,2.32,23.9,0.63,1.89,670.28,0,0,2.44,0,2.24,20.01,0,0,4.78,0,0,107.5,2.16,1.14,8.71
 84-94,0,0,0,0,4.46,2.75,2272.28,0.56,1.16,2.18,14.43,0.87,0,0,6.66,0,0,4.62,0,0,7.64,0,1.95,428.3,0.62,0,3.38,0,0,1.95,0,0,0,0,0,127.12,0.85,0,0
 96-106,0,0,0,0,2.55,3.18,1942.25,4.47,1.68,2.8,14.04,0,0,1.6,1.17,0,2.66,0,0,0,18.62,1.73,1.53,224.95,0,0,1.96,0,0,0,0,0,2.89,2.98,0,23.52,0.74,0,3.69
108-118,0,0,1.95,0,6.69,0.85,1843.41,0,1.64,0,12.5,0,0,0,1.19,0.5,2.2,0,0.6,0,22.96,0,0.85,306.94,0.51,4.77,0.98,0,0,2.48,0,0,0.72,0,0,29.83,1.56,0,0
120,0,0,0,0,2.42,0,2512.09,0,0,0,8.93,0,0,10.58,20.72,0,0,0,0,0,11.56,0,0,317.08,0,0,0,0,0,1.08,0,0,4.2,0,0,30.2,13.61,0,0
