stage,endoderm,epidermis,eye,glial,neural,otic,periderm,somites
 14-21,0,0,0,0,2.22,0,0,0.98
 24-34,0.61,2.08,0,1.19,0.75,0,1.33,0
 36-46,0,0,0,0.85,13.43,0,0,0
 48-58,0,0,0.62,0,5.84,0,0,0
108-118,0,0,0,0,0,4.45,0,0
