stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.51,425.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.98,260.39,0,0,0,0,0,0,0,0,0,0,0,0,0,56.1,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.76,0,10.55,0,0,3.24,0,0,0,0,0,0,0,0,0,64.39,0,0,0,27.8,0,0,0,0,0,0,0
 10-12,0,0,0,0,15.95,4.13,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.64,0,0,0,0,0,3.5,0,0,0,1.07,0,59.91,0,0.86,0,0,0,3.8,1.85,15.78,0,0,0
 24-34,0,0,0,0.81,0,1.69,0,0.8,1.23,1.5,0,0,1.72,1.36,0.75,95.65,0,0.59,0,0,0.94,0,0,13.15,0,0,0
 36-46,0,0,0,0,0,14.62,0,0,2,0,0,0,0,3.32,0,65.92,2.14,0,1.8,0,0,0,0,11.68,0,0,0
 48-58,0,0,0,0,0,25.56,0.58,0,0.81,0.57,0,0,0,3.58,0.4,87.5,0,0.87,0,0,0,0,0,3.77,0,0,1.85
 60-70,0,0,0,0,0,20.56,0,0,0,0,0,0,0,3.59,0.68,42.95,0,0,0,0,0,0,0,9.27,0,0,0
 72-82,0,0,0,0,0,79.52,0,0.5,0.61,0,0,0,0,4.5,0,54.56,0,1.18,0,0,7.61,0,0,4.95,0,0.76,0
 84-94,0,0,0,0,0,5.37,0.79,0,0,3.35,0,0,0,0.81,0,16.12,0,0.63,0,0,1.58,0,0,0,0,0,0
 96-106,0,0,0,0,0,24.71,0,0,0,2.34,0,0,0,0,0,20.34,0,0,0,0,1.64,0,0,0,0,0,0
108-118,0,0,0,3.58,0,26.13,0,0,0,1.62,0.57,1.37,0,3.36,0.73,37.96,0,0.96,0,0,0,0,0,2.22,3.22,0,0
120,0,0,0,0,0,0,0,0,8.03,0,0,0,0,0,0,63.24,0,0,0,0,0,0,0,0,0,0,0
