stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,0,129.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264.18,0,0,0,0,0,0,0
  5-6,8.24,183.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.19,35.79,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.35,5.66,0,0,35.89,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.12,6.95,0,0,15.62,0,0,6.91,0,0,0,0,0
 14-21,0,0,5.06,0,0.85,0,0,1.83,0,0,0,0,0,0,1.93,0,0,0,11.69,1.13,0,0,0,6.34,0.99,0,1.75,4.69,0,0,0
 24-34,0,0,0,0,0.59,0,0,2.32,0,0,0.88,0,0,0,0,0,0,0.92,7.75,2.14,0.69,0,0,0,0,0,0,10.37,0,0,0
 36-46,0,0,0,0.94,1.3,0,0,0,0,0,0,0,1.36,0,0.67,0,0,0,8.46,0.62,0,0,0,3.87,0,0,0,1.41,0,0,0.56
 48-58,0,0,0,1.19,1.12,0,2.51,1.17,0,0,0,0,0,0,1.15,0.48,0,0.53,3.36,0.39,0,0,0,4.52,0,0,0,1.96,0,0,0
 60-70,0,0,0,0,0,0.79,0,0,0,0,1.72,2.65,0,0,4.34,0.65,0.64,0,8.37,0,0,0,0,4.25,0,0,0,0,0,0,0
 72-82,0,0,0,4.66,5.59,0,0,1.98,0,0.89,0,0,1.05,0,8.36,1.05,0,2.17,22.31,0.88,0,0,0,0,0,0,0,0,0,0,1.69
 84-94,0,0,0,16.03,0.61,0,0,0,0.57,0,2.26,0,0,1.46,6.67,0,0,0,2.17,0.65,0,4.49,0,1.17,0,0,0,0,0,0,1.19
 96-106,0,0,3.74,14.88,0,0,0,1.01,0.57,0.99,1.6,0,0,0,8.17,0.78,0,1.82,11.14,0.8,0.67,1.99,0,5.64,0,0,0,0,1.26,0.66,7.45
108-118,0,0,2.22,1.91,5.2,1.07,1.06,0,0,1.02,3.48,0.55,0,1.41,10.12,0.51,1.96,0.49,15.07,0,0,1.24,0,5.13,0,0,0,0,0,0,5.17
120,0,0,0,12.67,0,0,0,0,0,0,0,1.4,0,0,8.33,0,0,0,11.32,0,0,0,0,3.45,0,0,0,0,0,0,2.93
