stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,gut,hatching_gland,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,38.33,1177.23,0,0,0,0,0,0,0,0,0,0,0,47.6,0,0,0,0,0
  5-6,80.11,1650.18,0,0,0,0,0,0,0,0,61.25,10.41,21.87,59.91,0,0,0,0,0
  7-9,16.23,12.64,15.33,0,0,44.53,0,11.39,0,0,493.17,12.72,146.39,0,0,0,0,0,0
 10-12,0,15.76,0,0,0,25.82,0,0,0,0,97.14,0,47.69,0,4.94,0,5.61,0,0
 14-21,0,0,0,11.16,1.53,3.41,0.92,0,3.29,4.79,14.03,0,0.96,1.15,0.9,4.72,0,4.76,1.83
 24-34,0,0,0,0.86,0,0,0,0,3.41,0,4.45,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.65,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0.83
 60-70,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26,0,0,0,0,0
