stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,ionocyte,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,57.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293.88,0,0,0,0
  5-6,101.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1363.27,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.1,0,0,11.72,254.04,0,0,0,0
 10-12,0,0,0,9.97,0,0,0,0,0,0,0,0,0,0,0,0,57.36,0,0,9.74,64.47,0,0,0,0
 14-21,0,1.65,0.99,0,0,0,0,0,0,0,0,0.94,1.97,0,0,0,17.9,0.9,0,0,560.69,0.96,0,0,0
 24-34,0,1.35,0,1.53,0,2.04,0,0,1.45,0,0.9,0,0.88,5.35,0,13.35,37.09,0,0.73,0,678.49,8.01,0,4.54,0
 36-46,0,20.95,0,2.67,0,6.28,0,1.51,0,0,0,0,2.54,9.14,0,1.88,8.99,0,0,0,525.89,1.77,0,0,0
 48-58,0,6.02,0,2.19,0,13.11,0,0,0,0,0,0,2.51,3.98,0,1.78,16.43,0,0,0,378.11,2.21,0,0,0
 60-70,0,14.49,0,5.55,0.58,13.45,0,0,0,1.4,0,0,0.85,0.58,0,0,7.35,0,0.84,0,445.5,5.14,1.44,0,0
 72-82,0,10.24,0,3.72,0,4.84,0,1.07,0,2.85,0,0,0,4.5,0,0,21.87,0,0,0,237.13,0,0,0.89,0
 84-94,0,25.63,0,5.05,0,14.44,0,0,0,3.51,0,0,4.07,1.26,0,0,6.61,0,1.3,0,642.37,0,0,1.23,0
 96-106,0,25.18,2.85,1.34,0,17.17,8.29,1.24,0,4.07,0,0,1.57,5.01,0.92,1.57,7.27,0,0,0,586.69,0,0,1.79,2.23
108-118,0,16.79,0,1.23,0,22.14,0,1.79,0,3.35,0,0,9.82,5.77,0,0.42,15.02,0,0,0,355.6,0,0,0,0
120,0,32.87,0,0,0,28.82,0,0,0,11.55,0,0,0,5.01,0,0,6.99,0,0,0,372.3,0,0,0,0
