stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,taste,vasculature
  7-9,0,0,0,0,0,4.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.09,0,0,0,0,0
 14-21,0,0,0,0,0.93,0,0,0,1.04,0,0,37.68,0.93,0,0,0,0,0,7.54,0,0
 24-34,0,0,1.39,0,0,0,0,0,1.31,0,0.6,66.35,0.66,1.71,0,0,0,0,16.66,0,1.46
 36-46,0,0,2.03,0,1.72,0,0,0,8.44,0,1.12,101.99,0,0,0,0,0,0,21.48,0,0
 48-58,1.39,0,23.57,2.27,6.21,0,0,0,9.1,0,0,155.38,0,0.91,4.08,0,0,4.13,18.43,0,0
 60-70,0,0,34.52,2.56,8.02,0,0,0,5.06,0,0.93,134.06,0,0.7,0,0,0.96,0,6.03,0,0
 72-82,1.07,0,52.2,0,11.47,0,0,0,13.65,5.49,2.96,164.01,0,1.07,0,0,0,0,22.81,0.53,0
 84-94,3.16,0,13.65,0,6.88,0,2.66,0,2.94,0,0.56,183.06,0,0,0.95,0,0,0,3.2,0,0
 96-106,0,0,63.22,0,3.54,0,0,0.67,8.18,1.02,0.79,83.56,0,0,0,0,0,0.99,0,0,0
108-118,0.45,6.38,42.77,0,15.77,0,0,0,4.75,1.63,0,101.37,0,0,0,0,0,0.43,6.6,0,0
120,0,0,27.07,0,22.25,0,0,0,10.1,0,0,161.32,0,0,0,0,0,0,0,0,0
