stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,36.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,211.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.66,13.43,0,7.11,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.64,5.14,0,17.95,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.06,4.37,1.7,0,0,1.08,1,0.81,0,0,1.08,0,0,2.41,48.8,0,0,0.86,0,0,4.55,1.53,5.48,21.1,0,0,0
 24-34,0,0,0.67,0,2.82,0,0.9,0,0,0,0,0,3.54,0,0,1.39,37.42,0.64,1.1,0,0,1.64,0,0,1.96,9.74,0,0,0
 36-46,0,0,1.3,0,5.24,0,0,0,0,0,0,0.8,4.9,0,0.8,0,27.47,0,0.72,0,2.1,0,0,0,0,6.17,0,0,5.06
 48-58,0,0,0,0,8.12,0.41,0.42,0.71,0,0,0,0,7.03,0,0,0,13.27,0,0,0,0,0,0,0,0,3.52,0,0,0
 60-70,0,0,0.61,0,2.55,0,0,0.92,0,0,0,0,2.22,0,0,0,7.94,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,6.4,0,0,8.74,0,0,0,0,3.35,1.89,0,0,4.9,0,0,0,0,0,0,0,0,0.85,0,0,0.89
 84-94,0,0,0,0,2.29,0,0,7.47,0,0,0,0,0.82,0,0,0.6,1.25,0,0,0,0,0,0,0,0,3.85,0,1.67,0
 96-106,0,0,0,0,0.65,0,0,2.37,0.71,0,2.31,0,0,0,3.48,1.42,0,0,0,0,0,0,0,0,0,0,2.03,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0,6.52,0,0,0,0,0,0,0,0,4.09,0,0,0
120,0,0,3.78,0,11.2,0,0,0,0,0,0,0,4.31,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0
