stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  5-6,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,17.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,11.94,0,0,0,0,0,0,0,0,0,0,0,0,36.13,0,0,18.04,0,0,0,61.29,0,0,0,0,0
 14-21,0,0,1.94,6.02,1.97,0,0,0,0,2.26,0,0,0,122.14,0,65.3,44.8,0,0,0,0,0,6.01,0,0.85,0,0,0,0
 24-34,0,1.34,0,0.87,0.74,0,0,0,0,9.97,0,1.32,0,128.36,0.89,55.83,65.63,0.75,0,0,0,0,0.97,10.15,0,0.89,0,0,0.81
 36-46,0,0,1.68,8.28,8.86,0,0,1.08,0,14.27,0,0,0,116.16,2.69,34.15,67.17,0,0,0,8.24,0,0,1.24,0,0.56,0,0,0
 48-58,0,0,7.6,0,9.6,0,0,1.64,0,16.42,0,0,0,140.15,15.2,34.04,62.55,0,0,0,2.02,0,0,1.12,0,44.81,0.79,0.65,0
 60-70,0,0,2,0,28.75,0,0,0,0,15.65,4.72,0,0,178.55,32.19,24.32,71.81,0,0,0,2.24,3.72,0,0,0,127.01,2.29,1.34,0
 72-82,0,0,3.85,0,11.17,0,0,1.89,0,16.73,0.71,0,1.36,247.01,66.55,29.8,128.48,0,3.23,0,4.92,0,0,0,0,29.62,1.01,15.37,0
 84-94,0,0,6.67,0,21.65,0,9.58,5.86,0,16.02,0,0,0,193.81,70.32,15.83,35.43,0,0.92,0,1.7,0,0,1.46,0,40.96,0,16.64,0
 96-106,0,0,1.76,0,9.86,0,0,8.26,0,21.08,0,0,0,204.17,32.98,49.26,41.92,0,0,0,7.07,0,0,4.2,0,21.94,0.92,7.56,0
108-118,0,0,8.32,0,8.35,0.46,2.63,1.37,0,4.57,0,0,4.08,181.35,56.76,20.25,28.24,0,0,0,2.06,0,0,1.86,0,0,4.88,11.47,0
120,0,0,3.3,0,13.74,0,0,0,0,31.92,0,0,0,402.03,173.45,17.9,67.51,0,0,0,20.19,0,0,0,0,17.34,0,52.35,0
