stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,18.56,328.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.98,0,0,0,0,0,0,0,0
  5-6,6.98,572.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.22,0,0,0,8.65,0,10.29,0,0,0,0,0,0,0,0
  7-9,5.75,14.05,0,0,0,0,0,23.53,0,0,0,0,0,0,0,0,0,0,0,0,0,163.01,28.81,0,0,38.44,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,8.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.22,0,0,0,5.3,0,0,5.47,0,6.93,0,0,0,0,0
 14-21,0,0,0,0,5.54,2.52,0,2.5,0,0,0.91,0,0,11.01,0,0,0,0,6.54,0,3.04,82.16,0,0,1.61,1.19,0,0,0,3.56,0,7.85,19.83,0,0,0
 24-34,0,0,0,0,0,0,0,8.86,0,0,0.7,0,0,74.4,0,0,0,0,7.08,0,1.97,102.67,0,0,0,0,0,0,0,0,0,0,17.58,0,0,5.54
 36-46,0,0,0.98,0,0.93,0,0,13.94,0,0,0,0,0,155.3,0,0,0,0,14.88,1.26,1.31,117.49,0,0,0,0,0,0,0,0,0,0,26.04,0,0,0
 48-58,0,0,0,0.72,0.97,0,0,43.6,0,0,10.11,0,0,175.27,0,0.39,0,0,14.35,0,1.31,119.71,0,0,0,0,0,1.51,0,0,0,0,20.28,0,0,1.66
 60-70,0,0,0,0,5.63,0,0,39.14,0,0,1.46,0.99,0.93,140.18,0,0,0,0,6.8,0,0,83.02,1.36,0,0,0,0,1.43,0,0,0,0,10.6,0,0,4.22
 72-82,0,0,0,0,0,8.35,0,23,0,4.05,5.58,0,0,152.16,0,0,0,0,13.71,0,0,47.64,0,0,0.81,0,0,0,0,0,0,0,3.07,0,0,2.48
 84-94,0,0,0,0,2.53,7.39,0,14,0,0,2.3,0,0,240.49,0,0,0,0,12.39,2.15,0,24.3,0,1.46,0,0,1.01,0.55,0,0,0,0,0,0.56,0,0
 96-106,0,0,0,0,1.82,3.32,0,16.03,0,0.72,9.18,1.35,0,248.41,0,0.75,0.83,0,16.15,0,1.06,40.76,0,1.94,0,0,0,9.81,0,0,0,0,0,0,4.18,5.1
108-118,0,0,0,0,12.17,2.07,0.44,5.37,0.42,0,1.36,0,0,258.14,0.63,0.41,0,0.81,21.96,0,4.13,38.21,0,0.45,4.38,0,0,1.01,0,0,0.41,0,3.35,0,0,12.03
120,0,0,0,0,1.26,10.75,0,2.12,0,2.45,17.44,0,0,270.07,0,0,0,0,7.42,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9
