stage,epidermis,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,7.99,68.03,0,0,9.56,0,0,0,0,0,0,0,0
 14-21,12.12,0,0,0,0,0,1.98,0,0,0,0,0,5.86,2.93,0,2.03,0,0,1.76,0,5.17,0,0,0,0
 24-34,4.48,0,0,0,0,0,1.17,0,0,0.86,0,0,20.81,7.55,0,2.32,0,0,0,1.73,1.03,0,0,0,0
 36-46,21.47,0,0.68,1.61,1.51,0,5.56,0,0,3.68,0,0,26.19,8.45,0,5.53,0,0,0,0,0,0,0,1.02,0
 48-58,1.42,0,2.07,0,1.44,0,3.72,0,0.39,6.25,0,1.98,10.6,2.53,0.65,2.78,0,0,0,0,7.96,0,0,0,0
 60-70,7.87,0,2.99,0,0,0,15.31,0,0.59,25.63,0,11.66,18.25,5.4,0,1.42,0,0,0,0,0,0,0,0,0
 72-82,5.07,0,2.76,0,0,1.18,13.24,0,1.14,44.94,0.73,8.81,17.21,3.36,0,9.68,0,0,0,0,2.59,0,0,0,0.71
 84-94,13.21,0,2.31,0,0.57,0,13.73,0,4.79,32,0,5.91,13.59,7.53,0,0,0,0,0,0,0,0.72,1.79,0,0
 96-106,8.19,0.97,2.22,0,0.63,0,20.48,0,1.64,36.56,0,4.99,31.18,1.22,2.08,8.36,0,2.5,0,0,0,1.95,2.47,0,0
108-118,2.41,0,7.42,0,0,1.43,16.84,0.51,6.43,55.43,0,6.67,19.53,4.22,0,0.52,0,0,0,0,0,1.51,2.03,0,0
120,12.47,0,0,0,5.81,0,3.78,0,0,126.88,0,7.4,20.4,22.24,10.22,4.36,0,0,0,0,6.18,0,11.19,0,0
