stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,5.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,4.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,12.38,0,201.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.1,31.1,0,0,0,0,0,1.03,0.81,0,0,8.95,0,0,0,0,0,0
 24-34,0,14.77,0.8,507.46,0,0,0,2.99,0,0,0,0,0,53.25,4.11,0,88.45,0,0,332.31,26.58,0,1.41,3.97,0,0.99,2.29,1.87,0,0,2.23,1.08,0,0,0,0,0
 36-46,0,24.15,0,174.2,0,0,3.67,1.66,0,0,1.32,0,0,65.53,0,0,251.69,0,0.89,377.64,74.83,0,1.15,10.46,0,0,0,0.9,0,1.23,0,1.55,0,0,0,0,0
 48-58,0,9.94,0.96,223.13,1.05,0,0,4.04,0,0,1.32,0,0,62.49,0,0,298.87,0,8.02,299.3,65.45,0,0.47,61.52,3.66,0,0,0,0,0,0,2.62,0,0,0,0,0.62
 60-70,0,35.45,2.97,343.01,0,1.16,4.78,2.91,0,0,0,4.65,2.52,57.47,0,0,277.81,0,11.97,247.78,65.39,0,0,156.54,0,0,0,0,0,0,0,4.32,0,2.26,0,4.75,0
 72-82,1.6,57.07,7.27,288.21,0,11.31,0,3.89,0.51,0,0,6.06,3.49,121.78,0,0,197.21,0.73,13.28,278.85,26.53,0,3.2,198.75,0,0,0,0,0,0,0,3.43,0,4.76,0,17.35,8.9
 84-94,3.59,72.2,14.19,674.11,0,15.26,0,8.99,0.57,0,7.57,13.29,3.34,187.47,0,1.53,200.02,0,14.81,259.09,66.93,0,0.76,255.02,0,4.76,0,0,0,0,0,1.96,0,12.36,1.2,20.6,0
 96-106,4.4,132.12,17.94,245.41,0,29.07,0,11.4,1.94,0,0,21.6,1.14,202.38,0,0,196.95,0.63,0,239.55,72.94,0.87,7.93,692.37,0,0,1.98,0,0,0,0,0.63,0.56,3,0,24.11,2.75
108-118,2.89,128.95,7.17,435.14,0,60.61,0,3.85,5.3,0,2.59,32.43,5.33,140.25,2.94,0,177.32,1.23,4.52,216.41,47.7,0.45,9.54,453.16,0,0,8.61,0,0.65,0,0,0,0.55,0.41,1.44,5.21,0
120,0,109.25,53.36,123.18,0,61.88,0,5.01,0,0,0,11.93,0,56.43,0,0,194.56,0,6.16,140.18,37.85,0,6.99,619.95,0,12.53,0,0,0,0,0,0,0,0,11.6,24.66,0
