stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,30.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.48,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,10.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.29,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.3,0,0,0,0,3.1,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.72,6.08,0,0,0,0,1.61,0.81,669.01,75.87,2.41,0,0,0,0
 24-34,0,0,7.87,0,0,22.15,1099.62,0,0,3.9,0,0,0,0,1.25,0,0,0,0,21,0,0.91,118.81,315.98,3.2,1.94,0,0,4.61,0,1132.63,283.83,44.13,0,28.45,0,0.96
 36-46,0,0,1.48,0,0,34.47,2194.81,6.72,0,1.09,0,0,0,3.25,0,0,1.61,0,0,22.93,2.02,0,86.26,280.67,7.8,0,0.85,28.51,19.08,0,966.87,55.7,46.96,0,7.23,0,6.39
 48-58,0,0,6.94,0,0,90.08,1522.72,0.41,0,36.75,0,2.63,0,0,0,0,0,2.86,2.45,31.18,0,0.76,87.11,329.87,0,0.8,1.09,0,11.7,0,602.37,0,61.39,0.64,3.78,0,40.37
 60-70,0,0,0,0.71,0,97.76,839.81,0,0.83,1.26,1.59,0,0,2.96,0,0,0,0,0.86,36.91,1.46,1.41,141.59,160.31,0,0,0,17.84,4.64,0,262.5,0,16.39,0,1.66,0,8.13
 72-82,0,0,0.76,8.06,0,95.04,653.39,0,0,6.04,0,0,0,0,0,4.15,3.4,3.49,0,28.45,0,6.7,67.06,161.03,0,4.64,2.6,1.13,1.81,0,112.39,0,10.08,0,6.9,1.33,11.74
 84-94,0,0,17.11,13.24,0,116.88,1044.02,0.62,0,14.48,1.56,1.3,0,1.04,1.03,0.62,0,9.21,0,35.09,5.87,4.01,97.73,133.33,0,0,0.78,0,11.48,0,205.26,0,33.47,0,10.93,0,5.51
 96-106,0,0,13.9,52.6,0,165.68,1013.81,1.41,1.11,45.73,0.89,0,1.98,5.04,1.51,0,2.91,3.87,11.34,45.9,0,5.98,111.22,148.51,0.59,0.56,1.98,10.66,18.27,0,151.23,0,4.97,2.53,2.08,0.91,42.73
108-118,0,0.64,5.7,1.57,0,51,711.89,0,2.03,12.24,0.85,0,0,0,0.48,5.4,0,4.38,0.6,41.91,0,0,119.86,105.91,0,0,3.75,0,11.65,0,140.06,0,1.12,0,2.68,0,0
120,0,0,5.11,0,1.03,57.74,505.85,0,0,0,0,0,0,7.82,7.56,1.11,0,4.86,0,22.67,0,0,133.48,111.34,0,0,0,0,8.13,5.59,68.83,0,0,0,6.48,0,0
