stage,epidermis,eye,immune,mesenchyme,neural,olfactory,periderm,vasculature
 24-34,0,0,0,0,0,0,0,0.77
 36-46,0,0,0,0,0,24.92,0,0
 48-58,0,0,0,0,0.66,0.94,0,0
 60-70,0,0,0,0,0,27.08,0,0
 72-82,0,0,0,0.73,2.25,0,0,0
 84-94,0,0,0,1.12,0,43.59,0,0
 96-106,0,0,4.73,0,0,31.49,0,0
108-118,0,3.08,0,0,1.14,166.88,3.65,0
120,1.02,0,0,0,0,7.5,0,0
