stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,hatching_gland,immune,iridophores,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,0,80.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.48,148.75,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0
  7-9,0,14.41,0,0,0,0,0,10.46,0,0,0,0,60.18,3.7,25.47,0,0,0
 10-12,0,0,0,0,3.49,0,0,0,0,0,0,0,54.07,0,10.88,0,0,0
 14-21,0,0,0,2.66,0,0,0,0,0,0,0,0,4.46,0,0,0,1.04,0
 24-34,0,0,0.71,0,4,0,0.81,0,0,0.97,0,1.07,24.48,0,0,0,7.19,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,0
 48-58,0,0,0.45,0,7.25,0,8.65,0,0,0,0.38,0,7.64,0,0,0.52,0.4,0
 72-82,0,0,0,0,0.96,0,0,0,0,0,0,0,10.59,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,1.86,0,0,0,0,1.73,0,0
108-118,0,0,0.52,0,1.31,0,0,0,0,0,0,0,2.61,0,0,0,0,1.05
120,0,0,0,0,0,6.38,0,0,2.44,0,18.76,0,0,0,0,0,0,0
