stage,axial,blastomeres,endoderm,eye,glial,hatching_gland,mesenchyme,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord
  3-4,31.45,563.71,0,0,0,0,0,0,0,0,0,41.48,0,0
  5-6,65,1067.57,26.4,0,0,0,0,15.86,0,0,8.27,30.5,0,0
  7-9,43.87,4.86,64.48,38.85,0,9.45,0,528.38,34.72,0,240.43,0,0,0
 10-12,0,0,6.02,3.11,0,0,0,75.26,7.02,0,23.35,0,0,0
 14-21,0,0,0,0,0,0,0,1.25,0,0,0,0,1.07,0
 24-34,0,0,0,0,0,0,0,1.1,0,1.16,0,0,0,0.95
 36-46,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,3.82,0,0,0,0,0,0
 72-82,0,0,0,0,0.67,0,0,1.08,0,0,0,0,0,0
 84-94,0,0,0,0,5.57,0,0,0,0,0,0,0,0,6.13
108-118,0,0,0,6.66,0,0,0,1.66,0,0,0,0,0,0
