stage,blastomeres,endoderm,eye,hatching_gland,neural,notochord,paraxial_mesoderm,pronephros
  3-4,150.47,0,0,0,0,0,0,0
  5-6,85.96,0,0,0,0,0,0,0
  7-9,0,4.34,4.84,8.24,164,5.69,33.44,0
 10-12,3.5,0,0,0,80.3,0,42.36,4.86
 14-21,0,0,0,0,1.12,0,0,0
108-118,0,0,0,0,1.08,0,0,0
