stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,20.24,522.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,64.23,885.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.83,0,0,0,21.56,0,14.26,0,0,0,0,0,0,0,0,0
  7-9,20.9,13.85,0,58.42,0,0,98.4,0,0,0,0,19.15,0,0,0,0,0,0,0,0,0,0,0,554.6,4.21,0,0,172.22,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.25,0,9.12,0,0,28.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,6.38,0,0,211.51,0,0,4.76,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,11.57,1.79,5.05,0,0,2.31,0.91,0,1.45,0,0,0,0,0,0,4.76,0,0,2,99.67,1.98,0,1.04,2.84,0,0,7.53,1.85,18.64,36.99,0,0,0,0,0
 24-34,0,0,0,0,4.95,0,6.25,0,0.61,3,0.71,0,0,0,0,11.28,2.02,0,0,14.4,0,0,5.73,223.61,0,6.63,1.55,0,0,2.61,0.71,1.08,1.98,34.02,0,0,10.34,0,0
 36-46,0,0,0,0,1.59,0,16.06,0,0,9.47,0,0,0,0,0,0,0,0,0,17.1,0,0,2.2,285.69,9.19,3.8,0,0,0,0,0,0,0.83,48.58,0,0,2.15,0,0
 48-58,0,0,0,0,0,0,83.8,0.51,4.42,15.84,0,0,0,0.37,0.38,0,0.37,0,0.6,12.21,0,0.56,1.86,310.46,0,0,0,0,0.46,0,0,0,0,46.1,0,0,0.91,0,5.51
 60-70,0,0,0,0,0.91,0,70.54,0,0,11.4,1.11,0,0,0,0,0,0.59,0,0,23.93,1.01,0,0,254.87,9.39,2.39,1.97,0,0,2.87,0,0,0,24.02,0,0,3.2,0,0
 72-82,0,0,1.14,0,6.49,0,82.2,0,0.5,11.04,2.26,0,0,0.98,0,0.72,0,0,0,26.06,0,0,1.23,166.73,0,1.26,0.67,0,0,0,0,0,0,9.9,1.3,0.56,1.6,1.44,0
 84-94,0,0,0,0,0.57,0,30.94,0,0,7.37,0,0,0,0.6,0.86,0,0,0,0,26.63,0,0,6.8,115.08,0,0,1.16,0,0.6,1.29,0,0,0,11.11,4.52,0,0,0,0
 96-106,0,0,0,0,0.71,0,21.53,0,0.69,5.93,0,0,0,0,0.86,0,0,0,0.69,11.82,0,1.51,1.14,77.07,0,2.33,2.84,0,1.3,5.1,0,0,0,1.23,0,0,3.64,3.05,0
108-118,0,0,0,0.74,5.18,0,24.52,0,1.4,20.4,0,0,0,0,0.89,0.74,0,0.97,0,15.69,0,0,2.71,117.77,0,0.47,1.67,0,0,3.65,0,0,0,8.3,0,1.3,0,0.44,0
120,0,0,0,0,5.02,0,15.36,0,0,12.74,0,0,0,0,0,0,0,0,0,3.96,0,0,1.95,138.38,0,0,0,0,0,2.93,0,0,0,17.7,1.37,0,1.14,0,3.17
