stage,blastomeres,epidermis,eye,fin_mesenchyme,glial,heart,lateral_line,mesenchyme,mucous,muscle,neural,otic,paraxial_mesoderm,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,14.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,8.34,0,0,0
 14-21,0,2.92,0,0,0,0,0,0.87,0,0,1.74,0,0,0.81,0,0
 24-34,0,0.76,2.64,0,0,0,0,1.81,0,0,34.76,0,0,7.63,0,0
 36-46,0,0,13.1,0,1.36,0,0,2.59,0,0,89.88,0,0,12.43,0,0
 48-58,0,0,8.86,0,0.49,0.63,0,1.7,0,1.27,126.45,0,0,8.91,0,0
 60-70,0,0,4.1,0,0,0,0,4.41,0,0,106.04,0,0,12.48,0,1.15
 72-82,0,0,6.84,0.89,3.16,0,0.53,8.92,0,0,146.26,0,0,3.87,0,0
 84-94,0,1.3,1.34,0,1.87,0,0,9.46,0,0.81,91.06,5.41,0,3.76,0,0
 96-106,0,0.81,1.49,0,2.33,0,0,8.43,2.08,0,82.96,0.61,0,6.13,3.23,0
108-118,0,1.43,12.53,0,0,0,0,7.48,0,0,82.08,0.44,0,0,0,0
120,0,1.56,8,0,3.92,0,0,2.3,0,0,60.75,0,0,0,0,0
