stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,neural,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1.26,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0.91,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0,1.1,0,0,0,0
 36-46,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0,0,2.91,2.18,0,0,0,0,1.75,0,1.04,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,8.55,0.94,0,0,0,0,0.98,0,0,0,2.03
 60-70,0,0,0,5.61,0,0.78,0,0,0,2.96,0,0,0,0,1.01,1.43,0,6.14,0,2.77,0,0,0,0,0,0,0,0
 72-82,0,0,0.5,1.6,0,0,7.65,0,0.89,0.76,0.64,0,0,0,3.74,0,0,25.72,3.2,0,0,0,0,2.22,0,0,0,0
 84-94,0,0,0,0,0,0,1.62,0,0,0.61,0,0,0,0,1.99,0,0,11.38,0,0,0,1.34,0,0,0,3.11,0,0
 96-106,1.41,0.79,0,11.65,0,0,1.9,1.25,0,1.49,0,1.6,1.25,4.07,4.6,0,0,34.86,1.19,1.14,0,0,0,2.07,1.48,0,0.56,0.69
108-118,0.94,0.73,0,7.78,0,0,0,0,0,2.59,1.99,0,0,0,3.75,0,0.83,33.41,0,0,0,1.12,0,0,0,0,0,0.95
120,0,1.07,0,3.71,1.03,0,0,0,0,8.68,4.13,0,0,0,7.09,0,0,60.57,3.09,3.73,0,2.71,0,0,0,0,2.27,0
