stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.45,378.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.22,346.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.15,7.94,0,0,7.9,0,17.7,0,0,0,0,0,0,0,0,0
  7-9,9.43,12.94,0,10.87,0,0,0,0,0,0,0,0,7.95,0,0,0,0,0,0,0,0,0,0,0,133.98,5.08,0,0,26.91,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.36,3.54,0,0,27.38,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.86,10.71,5.4,0,0,0.85,0,0,0.81,0,0,0,1.67,0,0,7.95,0,7.63,0,0,4.71,7.29,2.59,0,0,0.98,0,10.02,1.22,0.97,5.09,6.29,0,0,0,0,0
 24-34,0,0,0,0,20.76,0,1.12,0,3.14,0,0,1.29,0,1.24,0,1.73,0,1.93,0,1.75,5.6,0,0,0.67,6.77,1.64,1.03,0,0,0,64.48,0,0,0.6,1.6,0,0,4.26,0,1
 36-46,0,0,0,0,2.19,0,0,0,0,0,1.42,0,0.76,0.57,0.64,1.21,0,0,0,0,10.41,0,0,8.56,21.31,3.28,3.47,0,0,0,73.94,0,0,0,0.86,0,0,3.93,0,0.82
 48-58,0,0,0,0,3.12,0,6.12,0,2.61,2.2,6.17,0.49,1.8,5.82,0,0,0,1.61,0,1.33,16.01,0.95,0,2.73,14.66,0,0.91,0,0,0,47,0,0.44,0,2.09,0,0,4.37,0,1.81
 60-70,0,0,0,0,18.29,0,0.85,0,7.66,0,3.42,2.46,1.27,3,4.64,1.08,0,0,4.47,1.64,41.03,1.14,0.68,0,3.63,6.9,1.15,2.03,0,0.66,37.97,0,1.54,0,5.9,0,0,11.58,5.09,4.86
 72-82,0,0,2.07,0,5.48,0,12.37,0,5.33,2.06,10.21,8.08,2.4,0,7.37,3.53,0,1.04,0,0.64,54.77,3.71,2.43,4.07,30.97,0,2.96,6.4,0,0,20.36,0,0,0,0,0,1.22,13.43,0.91,2.15
 84-94,0,0,1.42,0,31.74,9.24,7.2,0,4.33,5.81,3.91,20.89,1.62,1,3.13,3.42,0.73,1.8,0,4.12,54.08,0.65,3.49,2.34,15.68,0,0.64,0,0,0,77.2,0,0,0,5.27,1.78,0,13.05,0,22.59
 96-106,0,0,2.71,0,31.09,0,3.41,0,17.59,4.14,7.82,36.94,1.06,2.13,8.52,2.6,4.37,3.51,0,0.67,66.98,3.67,5.1,8.92,16.37,0,3.43,0,0,1.33,46.51,0,1.3,0,1.71,1.53,0.68,20.08,6.19,7.06
108-118,0,0,7.61,0,57.23,0,15,0.67,6.42,3.24,17.13,28.87,0,0,11.07,4.5,5.07,2.77,1.52,1.44,111.58,3.49,5.82,4.83,33.16,0,0,2.69,0,0,34.07,0,2.45,0,1.42,1.33,1.11,28.36,3.81,11.97
120,0,0,0,1.66,54.75,1.99,26.49,0,6.06,0,20.03,17.63,0,0,11.87,7.15,1.91,1.34,0,9.96,116.32,3.01,1.26,2.94,45.77,11.22,0,5.18,0,0,6.81,0,0,0,11.17,0,5.4,5.14,0,1.16
