stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,heart,immune,mesenchyme,mucous,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,vasculature,xanthophores
  5-6,11.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.85,0,0,0,0,0,0,0,0,0,0,0,0,17.65,0,7.78,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1.06,1,0,0,0,1.65,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58,0,0,0,0,0.6,0,1.56,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0.94,0,0,0,0,15.82,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,9.61,0,0,0,0,17.87,0,0,0,0
 60-70,0,0,0,0,11.17,0,0,0,0,1.32,0,0,0,2.24,0,0,0,0,68.82,0,0,0,0
 72-82,0,0,0,0,0.52,0,0,0,0,2.12,0,6.42,0,7.61,0.61,0,0,0,207.51,0,1.91,0,0
 84-94,0,0,0,0,0.84,1.87,1.94,0,0.55,3.16,0,0,0,4.85,0,0,0,0,370.86,0,0,8.47,0
 96-106,0,0,5.97,0,4.23,0,2.09,0,0.73,2.22,2.18,0,1.7,11.41,0,0,1.56,0,482.61,0,1.51,0,8.82
108-118,0,2.04,0.66,3.35,9.45,0,0,0.47,0,8.09,0,0,0,15.12,0,0,1.97,0,563.53,0.47,4.09,1,0
120,0,1.08,0,0,0,0,0,0,0,0,0,0,0,9.6,0,0,0,0,351.63,0,0,0,0
