stage,blastomeres,eye,glial,immune,ionocyte,mesenchyme,mucous,muscle,neural,paraxial_mesoderm,periderm,spinal_cord
  5-6,16.56,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,12.87,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.69,8.83,0,0
 24-34,0,0,0,0,0,0,0,0,2.29,0,0,0
 36-46,0,0,0,0,0,5.37,0,0,3.37,0,0,0
 48-58,0,0,0,1.49,0,0,0,0,1.76,0,0,0.89
 60-70,0,0,0,0,0,0,0,0,1.22,0,0,0
 72-82,0,1.29,0,0,0,10.47,0,1.23,1.56,0,0,0
 84-94,0,0,0,0.73,1.42,0.61,0,0,0,0,0,0
 96-106,0,0,2.7,0.72,0,0.92,2.38,0,0,0,0,0
108-118,0,0.76,0,0,0,0,0,0,1.18,0,0.85,0
