stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,immune,iridophores,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,507.34,8494.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400.53,0,0,0,0,0,0,0
  5-6,281.45,5831.1,0,0,0,0,0,0,0,0,0,10.93,0,0,0,0,0,0,0,163.91,0,0,0,31.91,202.85,0,0,0,0,0,0,0
  7-9,51.48,76.93,0,97.24,0,0,193.69,0,0,0,0,125.46,0,0,0,0,0,0,0,1709.57,71.05,0,0,598.36,0,24.06,0,0,0,0,0,0
 10-12,0,14.88,0,5.34,0,8.02,51.42,0,0,0,0,21.39,0,0,0,0,0,0,0,432.07,34.41,0,0,274.03,3.3,6.03,0,72.17,0,0,0,0
 14-21,0,0,0,0.81,16.15,2.69,3.29,0,0,12.59,1.98,2.09,0,0,0,0,2.12,0,3.19,45.28,1.85,0,0,1.86,5.21,3.13,6.63,0,1.91,9.3,21.36,0
 24-34,0,0,0.66,0,3.09,0,0.79,0,0,0,0,0,0.88,0.83,0,0,1.65,0,0.63,23.29,0,4.56,0.84,0,16.09,0,0,1.45,0,0,2.76,1.26
 36-46,0,0,0,0,0,0,1.99,0,0,1.11,0,0,0,0,0,0,3.34,0,0,31.97,0,2.21,0,0,9.36,0,0,0,0,0,5.06,0.71
 48-58,0,0,0,0,1.57,0,6.02,0,0,0.45,0,0,0,0.41,0,0,2.01,0,0.4,26.73,0,2.04,0,0,15.32,0,0,0,0.77,0,8.25,1.17
 60-70,0,0,0,0,0,0,2.11,0,0,0.97,0,0,0,0,0,0,6.61,0,0,28.28,0,0.89,0,0,5.85,0,0,0.62,1.91,0,0.67,1.22
 72-82,0,0,0,0,0.5,0,2.43,0,0,7.3,0,0,0,0,0,0,1.7,0,0,40.74,0,2.96,2.8,0,0.67,0.56,0,0,0,0,0.73,0
 84-94,0,0,0,0,0.63,0,0,0,0,2.1,0,0,0.56,0,0,0,0,2.04,0.56,30.49,0,3.19,0,0,18.13,0,0,0,0,0,1.2,5.53
 96-106,0,0,0,0,0,0,1.68,1.43,0,3.61,0.79,0,0,0,1.33,1.3,1.55,0,0,16.41,0,0,0.65,0,9.57,0,0,0,0,0,0,8.96
108-118,0,0,0,0,2.5,0,1.87,0,1.42,7.78,0.67,0,0,0.63,1.15,0,1.04,0,0,44.6,0,3.37,0,0,11.14,0,0,0,0,0,0,3.91
120,0,0,0,0,18.98,0,3.39,0,0,34.11,0,0,0,0,0,0,8.68,0,0,27.52,0,0,0,0,4.78,0,0,0,1.21,0,0,15.31
