stage,axial,blastomeres,erythrocytes,eye,fast_muscle,fin_epithelia,glial,heart,ionocyte,lateral_line,melanocytes,mesenchyme,muscle,neural,otic,periderm,slow_muscle,somites,spinal_cord,vasculature
  3-4,0,16.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.25,94.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,29.51,0,0,0,0,0,0
 14-21,0,0,0,1.02,0,0,0,1.46,0.86,0,0,0.86,1.77,5.17,0.85,0,0.8,1.79,0,0
 24-34,0,0,0,0,0,0,0,0,0.62,0,0,1.72,0,14.06,0,0,0,0,0.63,0
 36-46,0,0,0,3.67,2.61,0,0,0,0,0,0,4.43,0,5.96,0,0,0,0,0,0.75
 48-58,0,0,0,3.95,0,0,0,0,0,0,1.35,1.43,0,10.54,0,0,0,0,4.91,0
 60-70,0,0,1.86,9.72,0,0,0,0,0,0,0,0,0,4.75,0,1.28,0,0,2.28,0
 72-82,0,0,0,6.82,0,0,1.5,0,0,0,0,0.52,0,5.96,0,0,0,0,0,0
 84-94,0,0,0,1.14,0,0,0,0,0,1.05,0,0.91,0,12.59,0,0,0,0,0,0
 96-106,0,0,0,2.08,0.76,0,0,0,0,0,0,4.16,0,6.79,0,0,0,0,0,0
108-118,0,0,0,12.85,0,0.56,1.83,0,0,0,0,1.18,0,2.43,0,0,0,0,0,0.82
120,0,0,0,13.74,0,0,0,0,0,0,0,0,0,45.46,0,0,0,0,0,0
