stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,30,95.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,21.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.97,0,0,5.27,0,0,0,0,0,0,0,0
 14-21,0,0,1.69,0,0,0,0,2.46,0,0,0,7.24,0,0,0,0,0,0,0,0,0,2.26,0,0,0.99,169.93,2.84,0,0,0,0,0,146.56,0,0,0,0
 24-34,0,0,1.72,0,4.46,0,0,21.83,0,0,0,30.94,0,0,0.86,0.71,0,0,0,10.33,0.8,9.28,0.93,0,3.4,1459.99,11.72,1.32,0,0,1.3,0,452.54,0,2.88,0,0
 36-46,0,0,0,0,2.52,0,0,181.04,1.14,0,0,95.71,0,0,3.23,0,0,1.88,0,0,2.14,12.43,0,0,2.16,2844.31,7.24,0,0,0,12.18,0.81,661.84,0,0,0,0
 48-58,0,0,0,0,3.69,0.4,0,739.54,0.97,0,0,167.15,0.69,0,0.92,3.28,0,0,0,0,6.17,25.31,0,0,6.14,2887.14,13.45,0,0,2.02,0.56,0,721.48,0,3.56,0,7.06
 60-70,0,0,0,0,11.09,0.6,0,1731.1,0,0,0.59,158.52,0,5.9,0,4.34,0,8.58,0,0,0,14.73,0,4.1,4.96,2757.83,2.44,0,0,1.53,4.97,0,466.85,0,0.73,0,14.61
 72-82,0,0,1.22,0,6.39,4.7,0,1499.57,0,0,0.82,115.21,3.57,0,0,0,0,0,0.63,0,0,20.57,5.11,1.32,0,2057.94,6.55,6.31,0,0,1.97,0,161.57,1.08,0,6.68,1.14
 84-94,0,0,0.7,0,8.17,6.41,0,1215,0,0,9.2,92.36,2.59,0,1.91,0.93,0,0,0,0,0,23.35,0,8.58,1.16,1309.31,3.53,1.27,0,0,15.49,0,199.52,5.91,2.75,1.35,0
 96-106,0,0,0,0,6.64,10.08,0,868.54,0,8.62,2.3,95.45,3.01,0,0.58,0.63,0,1.5,0,10.33,0,13.75,0,2.08,2.43,1066.15,0.81,1.81,0,3.71,7.71,0,42.02,0,0.91,0.72,0
108-118,0,0,4.41,0,8.89,5.27,0.82,683.01,0,0,0,63.23,0.58,0,0,1.07,0,0.51,0,0,0,11.42,0,5.42,0.53,1188.2,1.51,1.94,0,6.28,1.47,0,60.44,0.45,1.71,2.56,5.4
120,0,0,2.94,0,26.37,2.21,0,591.16,0,1.21,0,198.33,4,0,0,10.87,3.87,0,0,0,0,38.25,0,0,1.13,2114.46,4.24,6.35,0,2.67,0,0,53.49,0,1.3,13.88,0
