stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.74,7.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.36,9.13,0,0,14.28,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.3,0,8.52,0,0,0,0,0,0,0,0,0,0,0,0,12.65,0,5.59,2.11,0,0,0,0.86,0,0,0,0.9,0,0,0,6.1,0,0
 24-34,0,0,0.94,2.8,4.02,0,0,0,0,0.82,0,0,0,2.45,0,1.4,68.45,0,23.05,17.78,0,0.69,0,0,0,0,0,1.98,6.71,0,0,23.57,0,0
 36-46,0,0,0.58,0,0,0,6.94,0,0,1.51,0,0,0,1.49,0,3.06,92.3,0,25.18,28,0,3.26,0,0,0,12.53,0,0,6.17,0,0,11.72,0,0
 48-58,0,0,0.71,0,6.22,0,7.98,0,0,0.38,0,0,0,1.31,1.02,0.56,66.44,3.06,15.87,40.03,0,0.64,0,0,0,0,0,0,1.73,0,0,12.12,0,0
 60-70,0.57,0,0,0,5.86,0,4.63,3.68,0,0,0,0,0,0,0,0,123.42,4.75,7.27,37.01,0,0,1.14,0,0,0,0,0,3.88,0,0,4.8,2.04,0
 72-82,0,0,0.87,0,10,0,11.27,4.69,1.1,0,0,0,0.64,1.2,0,0,161.47,6.34,6,12.02,0,1.97,1.06,0,0,0,0,0,1.56,1.07,3.42,18.61,3.67,0
 84-94,2.24,0,4.48,0.68,23.89,0,8.98,6.48,0,0,0,0,0,0,0,0,128.77,6.41,6.23,6.53,0,2.43,0.79,0,1.31,0,0,0,0.98,1.71,3.2,20.89,8.53,2.4
 96-106,0,0,5.41,2.34,0,0,4.69,17.9,0,0,0,0,0,5.56,0,0,137.43,9.18,6.27,15.53,0,0.9,0,0,0,0,1.05,0,0,0,7.67,17.79,11.5,0
108-118,0,0,1.59,0,5.1,0,6.18,11.05,0,0,0,2.02,0,1.03,0,0,160.91,7.55,7.12,12.15,0,5.81,1.43,0,11.5,0,0,0,2.76,1.29,6.57,24.91,10.74,0
120,0,0,3.57,0,7.94,2.58,17.69,27.67,0,0,2.92,0,0,0,0,0,138.87,2.4,9.16,36.56,0,4.44,0,0,0,0,0,0,0,0,6.67,11.65,10.92,0
