stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0.88,16.69,2.85,4.76,0,0,0,2.11,0.85,0,0,0,0,0,0,2.07,0,8.89,0,0,9.98,91.79,2.86,2.94,0,3.24,0,0,17.31,1.7,0,14.94,32.26,0,0,0,0,0
 24-34,0,0,3.1,1.6,8.41,0,0,0.74,4.56,2.08,1.82,0.89,0,3.32,0,0,0,0,16.1,0,0,9.51,144.35,0.67,1.97,1.35,0,0,1.51,2.32,0,1.01,3.43,20.37,0,0,0,0,0
 36-46,0,0,0.63,0,13.81,0,0,0.73,5.23,0,0,1.7,0,0,0.56,0,2.66,0,28.8,0,0,9.25,140.43,0,5.15,0,0,0,4.53,0,0.58,0,0,47.47,0,0,4.45,0,0
 48-58,0,0,1.56,0.45,25.1,0.99,0,1.56,17.96,0,0,0.96,0,0.47,0.38,0.46,0,1.32,24.17,0,1.13,1.17,93.1,0,1.21,0.43,0,0.45,7.51,0,0.74,2.11,0,27.74,0,0,3.24,0,1
 60-70,0,0,5.82,0,38.99,0,0,8.14,13.02,0,0,0,0,0,0,0,3.26,0,36.13,1.27,0,1.72,86.6,0.65,2.44,0,0,0,6.01,0,0,0,0,20.8,0,0,0,0,5.35
 72-82,0.97,0,1.56,0.54,43.62,0,0.78,1.93,35.65,1.67,0.59,1.61,0,0,0,1.14,0,0,43.07,0,0.51,2.82,140.99,0,0,6.65,0,1.43,3.45,0,0,0,0,9.96,0.62,1.23,4.68,1.19,13.8
 84-94,1.05,0,4.4,1.55,82.09,0,1.71,1.83,18.15,0,0.66,2.41,1.74,0.56,0.55,0,0,1.53,46.78,0,0,7.07,97.41,4.93,2.54,3.47,0,0,19.74,0,1.43,0,0,11.06,1.44,2.12,0,0,8.58
 96-106,0,0,4.22,0,24.06,0,0,0.97,42.72,3.55,0,1.2,3.44,1.85,0,5.95,0,0,35.34,3.69,1.14,4.64,78.03,0,4.33,5.52,0,6.37,15.88,0,0,0,0,5.96,3.04,3.52,0.84,2.33,0.69
108-118,0.64,1.06,9.11,3.24,14.89,0.76,1.67,0,20.99,0.93,0,4.13,0,2.23,0.47,2.2,2.53,2.93,49.67,0,6.34,10.08,105.76,0.67,3.63,2.57,0,13.17,11.93,0,2.11,1.13,0,5.73,1.91,0.54,1.15,0,4.26
120,0,0,10.26,0,45.72,0,4.08,10.57,31.08,0,0,0,0,1.05,1.11,2.12,2.14,0,47.55,0,4.59,8.21,92.25,0,0,0,0,0,4.95,0,4.58,0,0,3.65,0,4.03,2.73,0,0
