stage,blastomeres,epidermis,erythrocytes,eye,glial,immune,liver,mesenchyme,neural,otic,paraxial_mesoderm,periderm,spinal_cord
  3-4,61.24,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,28.85,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,18.97,0,3.75,0,0
 10-12,0,0,0,0,0,0,0,0,13.56,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,2.28,0,0,0,0.98
 24-34,0,0,0,0,0,0,0.76,0,5.94,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,11.94,0,0,0,0.61
 48-58,0,0,0,1.18,0.73,0.95,0,0.39,1.7,0.41,0,0,0
 60-70,0,0,0,0,0,0,0,0,1.32,0,0,0,0
 72-82,0,0,0.64,6.05,0,0,0,0.59,1.99,0,0,0,0
 84-94,0,0.99,0.98,0,0,0,0,0.66,0,0,0,1.79,0
 96-106,0,0,0,0,0,0,0,0,2.83,0,0,0,0
108-118,0,0,0,0,0,0,0,0,2.26,0,0,0,0
