stage,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,spinal_cord,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,4.21,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0
 24-34,3.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.36,0,0,0
 36-46,280.9,0,0.85,10.05,0,0,0,17.34,0,0,0,1.08,0,0.82,0,0,18.51,0,0,0
 48-58,671.1,0,2.42,43.5,0,0,0,0,0,0,0,2.38,0,19.09,0,0,6.52,2.5,0,0
 60-70,876.44,3.91,1.85,146.79,0,0,0,0,1.2,0,1.9,9.19,1.93,0.81,0,0,17.6,2.84,0,0
 72-82,276.42,0,0,32.17,0,0,0,0,0,0,0,2.18,0,5.53,0,0,8.28,8.57,0,0
 84-94,204.22,0.62,0.61,41.91,0,0,0,0,0,0,1.9,1.28,0,0,0,0,12.76,0,0,2.44
 96-106,94.4,5.33,1.92,9.88,0,0,0,0,0,0,9.72,0.79,0,7.97,0,0,22.77,6,0,0
108-118,332.74,4.59,7.58,50.27,3.53,0,0.44,0.51,0,0,2.05,0,0.71,16.02,0.53,0,15.74,0,0.71,1.57
120,2197.56,31.66,11.81,311.9,18.18,2.34,0,0,0,0,15.14,23.65,2.7,60.83,0,1.33,38.62,0,0,0
