stage,endoderm,epidermis,eye,fin_mesenchyme,glial,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,otic,periderm,spinal_cord,vascular_smooth_muscle,vasculature
 14-21,0,0,0,0,0,0,0,0,1.82,0,0,11.88,0,0,0,0,0
 24-34,0,0,3.03,0,1.03,0,0,0,1.22,0,0,28.85,0,0,7.54,0,0
 36-46,0,0,3.39,0,6.84,0,0,1.74,0.61,0,1.22,15.14,1.43,0,3.53,0,0
 48-58,0,0,5.34,0,2.78,0,0,0,7.17,0,0,9.55,0,0,3.36,0,0
 60-70,0,0,2.37,0,1.65,0,0,0,4.1,0,0,21.04,0,0,0,0,0
 72-82,0,0.56,7.72,0,0,0,0.68,0,6.21,0,0,22.18,0.61,0,0,0,0
 84-94,0,0,7.91,0,1.15,0,0,0,1.61,0,0.68,3.71,0,0.69,2.62,0,0.63
 96-106,0,0,5.91,0.76,0,1.14,0,0,1.71,1.82,0,5.03,1.03,0,0,1.3,0
108-118,0.74,0,5.25,1.52,0.81,0,0,0,0,5.11,0,15.53,0.52,0,0,0,0
120,0,1.6,3.36,0,15.9,0,0,0,0,0,0,33,0,0,0,0,0
