stage,endoderm,epidermis,erythrocytes,eye,glial,hatching_gland,lateral_line,mesenchyme,mucous,muscle,neural,otic,pericytes,periderm,spinal_cord,vasculature,xanthophores
  7-9,0,0,0,0,0,4.75,0,0,0,0,0,0,0,0,0,0,0
 10-12,9.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.85,0,0,0,0,0,0,0,1.72,1.27,0,0,0.87,0,0
 24-34,0,0,0,0.65,0,0,0,1.91,0,0,7.99,0,0,0,1.38,0.77,0
 36-46,0,0,0,0,0,0,0.65,4.37,0,0,7.17,0,0,0,1.53,0,0
 48-58,0,0.57,0,3.73,0,0,0,0,0,0,0,0,0,0,4.11,0,0
 60-70,0,0,0,0,0,0,0,2.48,0,0,3.98,0,0,0,4.15,0,0
 72-82,0,0.58,0,0.67,1.07,0,0.79,0.89,0,0,4.81,0,0.89,1.22,1.1,0,0
 84-94,0,0,0,0,0,0,0,0,0,0.63,1.75,0,0,0,0,0,0
 96-106,0,0,0,8.41,0,0,1.07,1.68,0,1.26,0,0,0,0,0,0,11.54
108-118,0,0.51,0,1.63,0,0,0,0,0,0,1.7,0,0,0,0,0,0
120,0,3.08,0,0,11.89,0,0,0,1.16,0,11.89,0,0,0,0,0,0
