stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,23.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.77,0,0,0,24.42,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.47,1.31,0,3.67,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,219.82,0,1.74,0,0,0,7.46,2.3,0,0,31.27,0,0,0,0,0
 24-34,0,0,0.66,11.87,0,0,65.69,0,1.14,0,0.63,0,0.68,0,0.6,0,0,0,0,8.73,0,0,3.37,1860.84,0,49.08,0,0,0,0.64,0,0.62,0,285.55,0,0,0.89,0,0
 36-46,0,0,1.71,4.89,0,0,562.02,0,0,0,16.2,0,0,2.93,0,0,0,0,4.55,6.94,0,0,2.81,4062.74,0,46.15,0,0,0,2.33,0,0,7.75,660.97,0,0,3.71,0,0
 48-58,0,0,1.13,29.24,0,0,4249,1.1,1.66,5.49,74.97,0,0.58,2.47,0.44,17.97,0.74,0,4.95,52.33,0.59,7.48,10.28,6441.44,1,42.52,1.8,0,0,8.78,0,0,0.46,1484.94,0,0,8.53,0,23.64
 60-70,0,0,0.57,55.24,10.15,0,22129.29,0,4.08,19.68,94.58,0,11.56,9.22,0,8.1,0.61,1.72,10.06,95.04,0,6.07,5.39,12882.17,0.69,34.09,0,0,1.08,42.77,0,2.7,1.71,3175.8,0,2.56,15.9,0,33.07
 72-82,0,0,5.74,181.53,59.02,0,42865.75,4.1,17.18,33.26,602.65,9.49,8.83,13.97,4.09,4.58,1.79,43.4,4.16,320.99,1.4,18.87,17.34,17251.77,1.79,55.58,21.04,0,4.29,50.02,0,2.51,2.12,2525.72,9.66,6.5,26.21,20.1,65.96
 84-94,0,0,4.58,246.86,14.73,0,34843.28,5.57,16.38,16.9,728.59,10.23,1.31,8.05,4.16,14.09,0,2.1,28.7,311.56,1.42,21.19,20.65,12598.53,3.27,52.08,18.82,0,2.3,49.62,0,1.84,3.34,1909.59,2.69,20.22,27.18,9.6,37.41
 96-106,0,0,3.64,308.56,80.89,4.07,42786.65,10.22,25.41,12.02,826.19,22.23,3.42,19.17,6.3,20.11,8.46,65.87,4.78,330.32,8.14,7.81,19.36,11993.4,5.5,39.42,14.96,0,8.12,119.44,0,2.49,1.19,846.49,25.67,17.67,36.82,21.28,101.72
108-118,3.02,0,0,219.1,40.8,14.73,39085.93,11.44,11.27,7.5,751.81,12.8,3.65,20.31,3.33,12.35,7.9,26.96,4.49,256.28,4.28,28.95,25.57,19495.53,4.66,65.29,27.42,0,8.08,51.49,0,5.81,0,813.42,17.51,7.5,28.84,22.97,12.77
120,0,0,3.01,255.66,40.06,0,24051.26,7.43,13.64,6.57,1036.99,15.28,5,9.77,4.11,7.44,10.94,63.78,8.73,298.58,4.4,24.03,32.69,22509.87,6.23,86.23,11.35,0,3.42,21.12,0,7.91,0,902.11,5,9.27,61.68,6.54,23.24
