stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,35.03,646.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.31,214.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3,0,0,0,0,7.87,0,0,0,0,0,0
 14-21,0,0,0,33.59,5.14,4.76,0,1.42,0,0,0,16.49,0,53.93,0,0,0,50.13,0,1.02,0,1.45,28.14,0,0,0.95,0,0,13.62,8.41,0,0,0,0
 24-34,0,0,0,28.31,0,0,0,0,0,0,0,18.31,0,113.94,0.65,0,0,54.77,0,0.88,1.6,0,19.24,0,0,1.03,0.71,0,44.29,1.71,0,0,0,0
 36-46,0,0,0,3.08,0,0,0,1.62,0,0,1.58,26.13,0,190.76,0,0,0,37,0,1.66,0,0.91,23.12,0,0,0,0,0,31.63,4.31,0,0,0,0
 48-58,0,0,0,5.75,7.26,0,0,6.06,0,0,1.62,53.17,0,148.17,0,0,0,56.31,0,1.07,0,0.99,27.36,0,0,0.38,6.58,0,16.87,2.21,0,0,0,0
 60-70,0,0,21.32,0,1.13,0,0.59,6.81,0,0,1.46,104.46,0,124.59,0,0,0,40.41,0,2.13,0,1.02,22.04,0,0,0,0,0,34.13,0,0,0,3.47,0
 72-82,0,0,5.01,0,2.16,17.19,0.52,20.37,0,2.34,13.4,263.88,0,160.07,1.72,0,0.74,149.16,0,26.98,0,0.61,104.97,0,0,0.79,3.8,0,65.73,5.19,0,0,4.15,3.96
 84-94,0,0,2.68,0.6,3.08,0,4.67,33.7,0,0,3,478.11,0,228.03,7.14,0,0,393.98,1.05,34.58,0,0.58,55.26,0,1.31,0,9.96,0,59.68,3.74,0,0,0,0
 96-106,0,0,9.7,0.58,6.07,12.16,0.57,60.48,0,11.18,31.8,503.14,0,219.33,0.68,5.14,0,607.23,0,88.27,1.86,1.11,147.66,1.55,0,1.51,14.69,0,44.94,8.28,2.05,1.5,3.91,0
108-118,0,0,5.97,2.13,6.92,9.55,3.38,21.34,0.93,0.74,32.55,314.65,0.68,179.14,2.08,0,0,670.81,0,57.94,0,2.21,114.47,0,2.4,2.1,5.61,0,41.27,2.65,1.79,0,4.53,0
120,0,0,0,0,0,0,1.62,30.24,0,3.27,23.52,208.88,3.15,243.19,7.01,2.11,2.64,277.59,0,73.73,0,1.82,59.88,3.31,0,0,0,0,20.43,0,0,0,4.8,0
