stage,axial,blastomeres,eye,glial,hatching_gland,ionocyte,neural,notochord,paraxial_mesoderm,periderm,vasculature
  3-4,30.03,382.13,0,0,0,0,0,0,0,19.89,0
  5-6,6.56,86.36,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,3.24,0,9.27,3.43,5.98,0,0
 10-12,0,0,11.22,0,6.29,0,29.74,5.74,7.88,0,0
 14-21,0,0,0,0,0,0,1.08,0,0,0,0
 24-34,0,0,0.99,0,0,0,4.15,5.35,0,0,0
 36-46,0,0,1.46,0,0,0,0.68,0,0,0,0
 48-58,0,0,2.08,0,0,0,0,0,0,0,0
 60-70,0,0,1.14,0,0,0,0.73,0,0,0,0
 72-82,0,0,3.79,0,0,0,1.02,0,0,0,1.06
 84-94,0,0,0,0,0,0.72,0,0,0,0,0
108-118,0,0,0,0,0,1.7,0,0,0,0,0
120,0,0,0,3.8,0,0,0,0,0,0,0
