stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.16,0,0,0,0,0,0,0,0
  5-6,44.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.19,0,0,0,7.88,0,6.77,0,0,0,0,0,0,0,0
 14-21,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.08,0,1.74,0,0,0,0,0,0,6.54,0,0,0.85,0,0
 24-34,0,1.29,1.45,0,0,5.41,0,1.24,1.24,0,1.17,0,0,0,0,8.24,0,0.76,0,1.62,20.88,0,6.73,0,0,0,0,0,0,4.06,0,0,2.03,0,0
 36-46,0,0.77,0,0,0,11.75,0,0.58,0,0,3.58,0.61,0,0,0,0,0.58,6.9,0.77,6.33,159.86,1.34,49.22,0,0,0,0,0.6,0,22.51,0,0,0,0,0
 48-58,0,0,0,0,0,24.71,0,2.59,6.12,0,1.05,0.54,0.38,0,0.87,0,0.83,17.02,0,2.54,228.23,0,28.36,0,0,0,0,2.28,0,8.75,0,0,0,0,1.07
 60-70,0,0.91,0.71,0,0,466.82,0,1.72,8.46,0,0,13.53,0,7.98,2.93,2.57,0,55.39,0,3.57,565.05,0,24.4,7.35,0,0,1.22,18.88,0,19.17,0,1.31,0,0,0
 72-82,0,0,5.7,0.56,0,1526.84,0,11.75,41.8,0.56,1.61,11.26,0.5,0,3.71,4.1,0,116.25,2.81,8.39,1033.09,0.88,52.26,0.74,0,0,0,81.12,0,20.57,3.98,2.75,0,10.47,0
 84-94,0,1.53,3.03,6.49,0,1269.31,0.91,2.77,25.48,0,0,18.5,1.14,0,3.34,3.72,0,74.47,5.4,4.7,643.94,0,33.08,4.71,0,0,3.17,207.7,0,3.82,0,1.31,5.44,4.16,8.03
 96-106,0,1.17,22.75,12.86,0,2411.61,0,4.16,53.36,0,5.46,18.98,0,2.45,9.55,0,0,92.95,0,4.3,762.36,0,58.57,9.23,0,1.51,1.17,222.49,0,4.23,1.13,6.31,1.05,6.39,0
108-118,0,1.17,21.39,0,1.72,2137.27,0,4.68,73.88,0.49,1.9,23.73,0,0,10.07,0.57,1.54,113.57,2.81,8.28,642.5,0,57.72,5.43,0,0.96,4.95,136.11,0.46,13.3,1.42,0,1.53,4.1,0
120,0,0,12.06,8.88,0,1502.49,7.36,0,77.41,0,7.84,22.62,0,0,11.88,7.68,0,67.22,2.08,0,1035.62,1.57,81.17,5.44,0,19.01,0,149.76,1.21,7.12,0,0,0,18.06,0
