stage,epidermis,erythrocytes,eye,fin_epithelia,glial,heart,ionocyte,lateral_line,mesenchyme,mucous,neural,notochord,olfactory,otic,periderm,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,7.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,26.14,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,4.51,0,0,0,8.31,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,3.57,0,0,0,4.56,0,0,0,0
 48-58,0,0,0.6,0,0.87,0,0,0,9.01,0,15.9,0.94,0,0,6.76,1.23,0,0,0
 60-70,6.07,0,3.03,0,0.74,0,0,0,0.75,0.6,7.93,0,0,1.26,14.57,2.69,0,0,0
 72-82,7.41,0,14.12,0,1.1,1.23,0,0.68,0.54,0,14.61,0,0,0,25.56,0,0,0,0.63
 84-94,18.06,0,0,1.3,2.26,0,6.54,0,1.88,0.75,8.74,0,1.95,0,75.02,4.8,1.19,0,0
 96-106,8.42,2.8,4.95,5.71,1.95,0,0,0,0,1.68,1.21,0,0,0,154.32,0,0,0,5.9
108-118,10.32,0,8.75,3.94,1.5,0,1.01,0,0,3.1,8.71,0,0,0,85.69,0,0,0,0
120,3.39,0,0,2.25,0,0,2.91,0,0,6.36,13.92,0,0,0,42.5,0,0,3.93,0
