stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,49.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,37.09,80.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.99,0,0,0,0,0,0,0,0,4.31,0,0,0,0,0,0,0,0,0,22.05,5.33,0,0,3.79,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.87,78.08,0,0,0,19.02,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,186.27,0.83,2.02,0,0,0,0,0,0,7.08,0,2.71,0,0,24.81,0,0,10.61,15.58,2.47,0,0,0,0,1.29,0,0,4.78,10.28,0,0,0,0,0
 24-34,0,0,0,71.81,0.6,2.34,0,14.93,0,0,0,0,17.61,0,0,0,17.38,76.53,0,0,22.35,59.33,1.17,1.9,0,0,1.61,1.36,0,1.89,0,28.52,0,0,2.37,0,0
 36-46,0,0,0,93.72,0,2.4,0,2.47,1.41,0,0,0,11.97,0,0,0.62,5.97,175.86,1.12,1.85,31.44,59.07,2.01,0,0,0,0,5.83,3.52,0,0,38.02,0,0,0,0,0
 48-58,0,0,0,69.7,4.61,7.28,0,10.38,5.72,3.16,0,0,2.6,0,0,0.73,0,266.6,0,11.21,47.13,124.93,3.44,0,0,0,0.46,0.65,0,0,0,34.03,0,1.34,0,0,0
 60-70,0,0,0,31.47,0,20.68,0,29.68,13.72,6.24,0,0,3,0,1.02,0,0,269.35,0,28.96,23.36,165.82,9.45,0,0,0,0,0.6,0,0,0,45.64,0,11.77,0,4.96,0
 72-82,0,0,0,21.41,0,41.04,0,4.47,12.49,31,0,0,0,0,0,2.57,0,430.41,0,33.74,35.62,103.39,1.45,0,1.06,0,1.4,1.17,0,0,0,9.77,0.8,7.24,0,12.08,0
 84-94,0,0,0,29.67,2.86,33.07,0,15.24,2.64,26.54,0,0,4.06,0,1.35,0,1.49,348.46,0,34.47,30.57,32.49,4.9,1.84,0,0,1.7,9.87,3.42,0,0,34.79,0.55,18.39,0,15.77,2.69
 96-106,0,0,0,16.74,3.95,22.13,0,29.29,19.93,35.85,0,0,2.24,0,0.81,0.63,0,326.8,0,27.45,21.77,75.58,0,0,0,0,7.45,6.98,0,0,0,18.22,2.83,13.41,2.1,14.09,0.68
108-118,0,0,0,15.53,2.8,17.3,0,14,15.03,34.2,0.41,0,2.11,0,0,0.56,0,444.61,0.7,56.31,27.64,53.95,4.52,0,0,0,6.57,3.44,0,0,0,16.81,2.62,7.07,0,15.84,1.85
120,0,0,0,44.47,0,27.39,1.57,25.66,5.82,79.35,6.86,0,0,3.81,2.11,2.55,0,516.27,0,73.68,27.28,91.33,13.99,0,0,0,39.44,3.35,0,0,0,8.85,7.23,9.56,0,28.61,1.16
